Plot.ID,Block,Plot.letter,Treatment,Focal.sp,Competition,Species.comp.combo,Species.comp.treatment,Species.treatment.block,Plot.Focalsp.comp.combo,Neighbour.density,Focal.height,Solo.height,Height,Nearest.neighbour.sp,Nearest.neighbour.height,Soilmoisture.11.or.12.Aug.1.hicomp,Soilmoisture.11.or.12.Aug.2.hicomp,Soilmoisture.11.or.12.Aug.3.hicomp,Mean.soilmoisture.11.or.12.Aug.hicomp,Mean.SM.earlyAug,Solo.soilmoisture.Aug11or12.1,Solo.soilmoisture.Aug11or12.2,Solo.soilmoisture.Aug11or12.3,Mean.solo.soilmoisture,Soilmoisture.22.or.23.Aug.1.hicomp,Soilmoisture.22.or.23.Aug.2.hicomp,Soilmoisture.22.or.23.Aug.3.hicomp,Mean.soilmoisture.22.or.23.Aug.hicomp,Solo.soilmoisture.22or23.Aug.1,Solo.soilmoisture.22or23Aug.2,Solo.soilmoisture.22or23Aug.3,Mean.solo.soilmoisture.22or23.Aug,Mean.SM.lateAug,Soilmoisture.3Sep.hicomp.1,Soilmoisture.3Sep.hicomp.2,Soilmoisture.3Sep.hicomp.3,Mean.soilmoisture.3Sep.hicomp,Solo.soilmoisture.3Sep.1,Solo.soilmoisture.3Sep.2,Solo.soilmoisture.3Sep.3,Mean.solo.soilmoisture.3Sep,Mean.SM.Sep,Delta.MeanSM.AugSep,Bare,Moss,Crust,CWD,Rock,Near.under.log,Jam.litter,Euc.litter,Notes,Colwell.P,Canopy.cover.final,Exclude.from.analysis,Num.fl.total,Num.fl.seeding.total,Seedcount.extrap.integer,Mean.solo.seedcount.extrap.integer.block,Delta.seedcount.meansolospeciesblock,Solo.seedcount.extrap.integer,Delta.seedcount.highcomp.solo.pair
10B,10,B,Shade,P.canescens,Highcomp,P.canescens.Highcomp,P.canescens.Highcomp.Shade,P.canescens.Shade.10,10B.P.canescens.Highcomp,1,250,260,250,Not.focal.species,NA,13.5,12,16.9,14.13333333,14.13333333,16.4,17.4,15.9,16.56666667,20.3,14.4,20.3,18.33333333,18.4,20.8,21.8,20.33333333,18.33333333,5.6,6.6,7.1,6.433333333,2.5,5.6,6.6,4.9,6.433333333,-7.7,50,45,3,10,0,1,0,3,,7.5,44.895,0,51,30,1620,639.25,980.75,613,1007
10B,10,B,Shade,P.canescens,Solo,P.canescens.Solo,P.canescens.Solo.Shade,P.canescens.Shade.10,10B.P.canescens.Solo,0,250,260,260,NA,NA,13.5,12,16.9,14.13333333,16.56666667,16.4,17.4,15.9,16.56666667,20.3,14.4,20.3,18.33333333,18.4,20.8,21.8,20.33333333,20.33333333,5.6,6.6,7.1,6.433333333,2.5,5.6,6.6,4.9,4.9,-11.66666667,0,90,10,0,0,1,0,0,,7.5,44.895,0,35,21,613,639.25,-26.25,NA,NA
10B,10,B,Shade,T.cyanopetala,Highcomp,T.cyanopetala.Highcomp,T.cyanopetala.Highcomp.Shade,T.cyanopetala.Shade.10,10B.T.cyanopetala.Highcomp,0,NA,NA,NA,Not.focal.species,NA,13.5,12,16.9,14.13333333,14.13333333,13.9,13.9,15.4,14.4,20.3,14.4,20.3,18.33333333,13,15.4,17.9,15.43333333,18.33333333,5.6,6.6,7.1,6.433333333,5.6,5.6,5.1,5.433333333,6.433333333,-7.7,50,45,3,10,0,1,0,3,Misidentified,7.5,44.895,1,8,7,62,21,41,0,62
10B,10,B,Shade,T.cyanopetala,Solo,T.cyanopetala.Solo,T.cyanopetala.Solo.Shade,T.cyanopetala.Shade.10,10B.T.cyanopetala.Solo,0,NA,NA,NA,NA,NA,13.5,12,16.9,14.13333333,14.4,13.9,13.9,15.4,14.4,20.3,14.4,20.3,18.33333333,13,15.4,17.9,15.43333333,15.43333333,5.6,6.6,7.1,6.433333333,5.6,5.6,5.1,5.433333333,5.433333333,-8.966666667,60,0,0,30,0,1,10,0,,7.5,44.895,0,0,0,0,21,-21,NA,NA
10C,10,C,Shade,A.calendula,Highcomp,A.calendula.Highcomp,A.calendula.Highcomp.Shade,A.calendula.Shade.10,10C.A.calendula.Highcomp,3,120,110,120,A.calendula,110,17.9,21.3,15.9,18.36666667,18.36666667,16.9,16.9,15.4,16.4,18.4,19.3,24.3,20.66666667,18.9,19.3,22.8,20.33333333,20.66666667,10,12.5,9,10.5,8.1,8.5,8.5,8.366666667,10.5,-7.866666667,35,5,3,3,0,0,0,0,,11.5,42.4,0,16,15,398,274,124,190,208
10C,10,C,Shade,A.calendula,Solo,A.calendula.Solo,A.calendula.Solo.Shade,A.calendula.Shade.10,10C.A.calendula.Solo,0,120,110,110,NA,NA,17.9,21.3,15.9,18.36666667,16.4,16.9,16.9,15.4,16.4,18.4,19.3,24.3,20.66666667,18.9,19.3,22.8,20.33333333,20.33333333,10,12.5,9,10.5,8.1,8.5,8.5,8.366666667,8.366666667,-8.033333333,100,0,0,0,0,0,0,0,,11.5,42.4,0,5,5,190,274,-84,NA,NA
10C,10,C,Shade,H.glutinosum,Highcomp,H.glutinosum.Highcomp,H.glutinosum.Highcomp.Shade,H.glutinosum.Shade.10,10C.H.glutinosum.Highcomp,3,35,5,35,H.glutinosum,55,17.9,21.3,15.9,18.36666667,18.36666667,19.3,18.4,19.8,19.16666667,18.4,19.3,24.3,20.66666667,21.3,21.8,21.3,21.46666667,20.66666667,10,12.5,9,10.5,12,13,13,12.66666667,10.5,-7.866666667,35,5,3,3,0,0,0,0,,11.5,42.4,0,3,3,5,1.666667,3.333333,0,5
10C,10,C,Shade,H.glutinosum,Solo,H.glutinosum.Solo,H.glutinosum.Solo.Shade,H.glutinosum.Shade.10,10C.H.glutinosum.Solo,0,35,5,5,NA,NA,17.9,21.3,15.9,18.36666667,19.16666667,19.3,18.4,19.8,19.16666667,18.4,19.3,24.3,20.66666667,21.3,21.8,21.3,21.46666667,21.46666667,10,12.5,9,10.5,12,13,13,12.66666667,12.66666667,-6.5,100,0,0,0,0,0,0,0,,11.5,42.4,0,0,0,0,1.666667,-1.666667,NA,NA
10C,10,C,Shade,P.airoides,Highcomp,P.airoides.Highcomp,P.airoides.Highcomp.Shade,P.airoides.Shade.10,10C.P.airoides.Highcomp,3,110,30,110,P.airoides,40,17.9,21.3,15.9,18.36666667,18.36666667,15.4,18.4,16.9,16.9,18.4,19.3,24.3,20.66666667,20.3,19.8,22.3,20.8,20.66666667,10,12.5,9,10.5,11.5,11.5,10.5,11.16666667,10.5,-7.866666667,35,5,3,3,0,0,0,0,,11.5,42.4,0,6,6,437,194,243,0,437
10C,10,C,Shade,P.airoides,Solo,P.airoides.Solo,P.airoides.Solo.Shade,P.airoides.Shade.10,10C.P.airoides.Solo,0,110,30,30,NA,NA,17.9,21.3,15.9,18.36666667,16.9,15.4,18.4,16.9,16.9,18.4,19.3,24.3,20.66666667,20.3,19.8,22.3,20.8,20.8,10,12.5,9,10.5,11.5,11.5,10.5,11.16666667,11.16666667,-5.733333333,100,0,0,0,0,0,0,0,,11.5,42.4,0,0,0,0,194,-194,NA,NA
10C,10,C,Shade,P.canescens,Highcomp,P.canescens.Highcomp,P.canescens.Highcomp.Shade,P.canescens.Shade.10,10C.P.canescens.Highcomp,3,150,210,150,Not.focal.species,NA,17.9,21.3,15.9,18.36666667,18.36666667,17.4,18.4,18.4,18.06666667,18.4,19.3,24.3,20.66666667,22.8,19.3,23.8,21.96666667,20.66666667,10,12.5,9,10.5,9.5,12,13,11.5,10.5,-7.866666667,35,5,3,3,0,0,0,0,,11.5,42.4,0,6,3,123,639.25,-516.25,245,-122
10C,10,C,Shade,P.canescens,Solo,P.canescens.Solo,P.canescens.Solo.Shade,P.canescens.Shade.10,10C.P.canescens.Solo,0,150,210,210,NA,NA,17.9,21.3,15.9,18.36666667,18.06666667,17.4,18.4,18.4,18.06666667,18.4,19.3,24.3,20.66666667,22.8,19.3,23.8,21.96666667,21.96666667,10,12.5,9,10.5,9.5,12,13,11.5,11.5,-6.566666667,90,10,0,0,0,0,0,0,,11.5,42.4,0,19,12,245,639.25,-394.25,NA,NA
10D,10,D,Shade,A.calendula,Highcomp,A.calendula.Highcomp,A.calendula.Highcomp.Shade,A.calendula.Shade.10,10D.A.calendula.Highcomp,2,90,100,90,Not.focal.species,NA,17.9,15.4,18.4,17.23333333,17.23333333,16.9,15.9,11.5,14.76666667,16.9,15.9,19.8,17.53333333,17.4,15.9,17.4,16.9,17.53333333,5.6,6.6,NA,6.1,5.1,6.1,6.1,5.766666667,6.1,-11.13333333,35,55,1,5,1,0,0,2,,11.2,42.911,0,9,9,306,274,32,124,182
10D,10,D,Shade,A.calendula,Solo,A.calendula.Solo,A.calendula.Solo.Shade,A.calendula.Shade.10,10D.A.calendula.Solo,0,90,100,100,NA,NA,17.9,15.4,18.4,17.23333333,14.76666667,16.9,15.9,11.5,14.76666667,16.9,15.9,19.8,17.53333333,17.4,15.9,17.4,16.9,16.9,5.6,6.6,NA,6.1,5.1,6.1,6.1,5.766666667,5.766666667,-9,30,30,30,0,0,0,0,10,,11.2,42.911,0,5,4,124,274,-150,NA,NA
10D,10,D,Shade,H.glabra,Highcomp,H.glabra.Highcomp,H.glabra.Highcomp.Shade,H.glabra.Shade.10,10D.H.glabra.Highcomp,4,15,50,15,Not.focal.species,NA,17.9,15.4,18.4,17.23333333,17.23333333,14.4,13,13.9,13.76666667,16.9,15.9,19.8,17.53333333,13.5,15.4,13.9,14.26666667,17.53333333,5.6,6.6,NA,6.1,4.6,5.6,6.1,5.433333333,6.1,-11.13333333,35,55,1,5,1,0,0,2,,11.2,42.911,0,1,1,NA,215.5,NA,326,NA
10D,10,D,Shade,H.glabra,Solo,H.glabra.Solo,H.glabra.Solo.Shade,H.glabra.Shade.10,10D.H.glabra.Solo,0,15,50,50,NA,NA,17.9,15.4,18.4,17.23333333,13.76666667,14.4,13,13.9,13.76666667,16.9,15.9,19.8,17.53333333,13.5,15.4,13.9,14.26666667,14.26666667,5.6,6.6,NA,6.1,4.6,5.6,6.1,5.433333333,5.433333333,-8.333333333,0,70,30,0,0,0,0,0,,11.2,42.911,0,5,4,326,215.5,110.5,NA,NA
10D,10,D,Shade,P.canescens,Highcomp,P.canescens.Highcomp,P.canescens.Highcomp.Shade,P.canescens.Shade.10,10D.P.canescens.Highcomp,1,290,205,290,Not.focal.species,NA,17.9,15.4,18.4,17.23333333,17.23333333,16.9,14.4,14.9,15.4,16.9,15.9,19.8,17.53333333,18.4,16.4,16.4,17.06666667,17.53333333,5.6,6.6,NA,6.1,5.6,5.6,NA,5.6,6.1,-11.13333333,35,55,1,5,1,0,0,2,,11.2,42.911,0,42,25,1305,639.25,665.75,851,454
10D,10,D,Shade,P.canescens,Solo,P.canescens.Solo,P.canescens.Solo.Shade,P.canescens.Shade.10,10D.P.canescens.Solo,0,290,205,205,NA,NA,17.9,15.4,18.4,17.23333333,15.4,16.9,14.4,14.9,15.4,16.9,15.9,19.8,17.53333333,18.4,16.4,16.4,17.06666667,17.06666667,5.6,6.6,NA,6.1,5.6,5.6,NA,5.6,5.6,-9.8,40,40,10,10,0,0,0,0,,11.2,42.911,0,22,15,851,639.25,211.75,NA,NA
10E,10,E,Open,A.calendula,Highcomp,A.calendula.Highcomp,A.calendula.Highcomp.Open,A.calendula.Open.10,10E.A.calendula.Highcomp,NA,160,115,160,Not.focal.species,NA,11.5,11.5,12.5,11.83333333,11.83333333,13.9,13,12.5,13.13333333,14.4,13,14,13.8,13.9,14.4,16.4,14.9,13.8,3.6,5.6,8.1,5.766666667,6.1,6.6,6.1,6.266666667,5.766666667,-6.066666667,15,20,0,40,0,1,0,1,,6.9,2.495,0,22,22,583,560.5,22.5,405,178
10E,10,E,Open,A.calendula,Solo,A.calendula.Solo,A.calendula.Solo.Open,A.calendula.Open.10,10E.A.calendula.Solo,0,160,115,115,NA,NA,11.5,11.5,12.5,11.83333333,13.13333333,13.9,13,12.5,13.13333333,14.4,13,14,13.8,13.9,14.4,16.4,14.9,14.9,3.6,5.6,8.1,5.766666667,6.1,6.6,6.1,6.266666667,6.266666667,-6.866666667,40,0,40,20,0,1,0,0,,6.9,2.495,0,16,16,405,560.5,-155.5,NA,NA
10E,10,E,Open,P.canescens,Highcomp,P.canescens.Highcomp,P.canescens.Highcomp.Open,P.canescens.Open.10,10E.P.canescens.Highcomp,2,330,190,330,P.canescens,170,11.5,11.5,12.5,11.83333333,11.83333333,13.5,14.4,15.4,14.43333333,14.4,13,14,13.8,13.9,15.9,17.4,15.73333333,13.8,3.6,5.6,8.1,5.766666667,5.6,6.6,5.1,5.766666667,5.766666667,-6.066666667,15,20,0,40,0,1,0,1,,6.9,2.495,0,41,30,3137,2412,725,2519,618
10E,10,E,Open,P.canescens,Solo,P.canescens.Solo,P.canescens.Solo.Open,P.canescens.Open.10,10E.P.canescens.Solo,0,330,190,190,NA,NA,11.5,11.5,12.5,11.83333333,14.43333333,13.5,14.4,15.4,14.43333333,14.4,13,14,13.8,13.9,15.9,17.4,15.73333333,15.73333333,3.6,5.6,8.1,5.766666667,5.6,6.6,5.1,5.766666667,5.766666667,-8.666666667,30,30,0,40,0,1,0,0,,6.9,2.495,0,51,44,2519,2412,107,NA,NA
10E,10,E,Open,T.cyanopetala,Highcomp,T.cyanopetala.Highcomp,T.cyanopetala.Highcomp.Open,T.cyanopetala.Open.10,10E.T.cyanopetala.Highcomp,1,25,140,25,T.cyanopetala,50,11.5,11.5,12.5,11.83333333,11.83333333,11.5,11.5,12.5,11.83333333,14.4,13,14,13.8,14.9,17.4,18.4,16.9,13.8,3.6,5.6,8.1,5.766666667,4.1,6.1,7.6,5.933333333,5.766666667,-6.066666667,15,20,0,40,0,1,0,1,,6.9,2.495,0,3,3,8,150,-142,150,-142
10E,10,E,Open,T.cyanopetala,Solo,T.cyanopetala.Solo,T.cyanopetala.Solo.Open,T.cyanopetala.Open.10,10E.T.cyanopetala.Solo,0,25,140,140,NA,NA,11.5,11.5,12.5,11.83333333,11.83333333,11.5,11.5,12.5,11.83333333,14.4,13,14,13.8,14.9,17.4,18.4,16.9,16.9,3.6,5.6,8.1,5.766666667,4.1,6.1,7.6,5.933333333,5.933333333,-5.9,70,10,0,10,0,1,10,0,,6.9,2.495,0,28,28,150,150,0,NA,NA
10F,10,F,Shade,H.glabra,Highcomp,H.glabra.Highcomp,H.glabra.Highcomp.Shade,H.glabra.Shade.10,10F.H.glabra.Highcomp,1,60,35,60,Not.focal.species,NA,12,14.9,15.4,14.1,14.1,16.9,17.4,17.4,17.23333333,14.4,14.9,16.9,15.4,21.3,18.4,19.3,19.66666667,15.4,8.5,8.5,11,9.333333333,8.5,8.5,9.5,8.833333333,9.333333333,-4.766666667,20,0,1,5,0,1,0,5,,7.9,46.958,0,10,10,504,215.5,288.5,105,399
10F,10,F,Shade,H.glabra,Solo,H.glabra.Solo,H.glabra.Solo.Shade,H.glabra.Shade.10,10F.H.glabra.Solo,0,60,35,35,NA,NA,12,14.9,15.4,14.1,17.23333333,16.9,17.4,17.4,17.23333333,14.4,14.9,16.9,15.4,21.3,18.4,19.3,19.66666667,19.66666667,8.5,8.5,11,9.333333333,8.5,8.5,9.5,8.833333333,8.833333333,-8.4,100,0,0,0,0,1,0,0,,7.9,46.958,0,4,4,105,215.5,-110.5,NA,NA
10F,10,F,Shade,P.canescens,Highcomp,P.canescens.Highcomp,P.canescens.Highcomp.Shade,P.canescens.Shade.10,10F.P.canescens.Highcomp,0,80,280,80,Not.focal.species,NA,12,14.9,15.4,14.1,14.1,16.4,18.4,18.4,17.73333333,14.4,14.9,16.9,15.4,19.8,18.4,19.8,19.33333333,15.4,8.5,8.5,11,9.333333333,8.5,8.5,11,9.333333333,9.333333333,-4.766666667,20,0,1,5,0,1,0,5,,7.9,46.958,0,12,8,444,639.25,-195.25,848,-404
10F,10,F,Shade,P.canescens,Solo,P.canescens.Solo,P.canescens.Solo.Shade,P.canescens.Shade.10,10F.P.canescens.Solo,0,80,280,280,NA,NA,12,14.9,15.4,14.1,17.73333333,16.4,18.4,18.4,17.73333333,14.4,14.9,16.9,15.4,19.8,18.4,19.8,19.33333333,19.33333333,8.5,8.5,11,9.333333333,8.5,8.5,11,9.333333333,9.333333333,-8.4,80,0,0,10,0,1,0,10,,7.9,46.958,0,21,20,848,639.25,208.75,NA,NA
10F,10,F,Shade,T.cyanopetala,Highcomp,T.cyanopetala.Highcomp,T.cyanopetala.Highcomp.Shade,T.cyanopetala.Shade.10,10F.T.cyanopetala.Highcomp,2,20,120,20,T.cyanopetala,15,12,14.9,15.4,14.1,14.1,12.5,13,13.5,13,14.4,14.9,16.9,15.4,13.5,14.9,14.9,14.43333333,15.4,8.5,8.5,11,9.333333333,5.6,5.6,6.1,5.766666667,9.333333333,-4.766666667,20,0,1,5,0,1,0,5,,7.9,46.958,0,2,2,6,21,-15,42,-36
10F,10,F,Shade,T.cyanopetala,Solo,T.cyanopetala.Solo,T.cyanopetala.Solo.Shade,T.cyanopetala.Shade.10,10F.T.cyanopetala.Solo,0,20,120,120,NA,NA,12,14.9,15.4,14.1,13,12.5,13,13.5,13,14.4,14.9,16.9,15.4,13.5,14.9,14.9,14.43333333,14.43333333,8.5,8.5,11,9.333333333,5.6,5.6,6.1,5.766666667,5.766666667,-7.233333333,60,20,20,0,0,1,0,0,,7.9,46.958,0,10,10,42,21,21,NA,NA
10F,10,F,Shade,V.rosea,Highcomp,V.rosea.Highcomp,V.rosea.Highcomp.Shade,V.rosea.Shade.10,10F.V.rosea.Highcomp,1,40,100,40,Not.focal.species,NA,12,14.9,15.4,14.1,14.1,14.9,14.9,14.9,14.9,14.4,14.9,16.9,15.4,14.9,16.9,17.4,16.4,15.4,8.5,8.5,11,9.333333333,7.6,7.6,9,8.066666667,9.333333333,-4.766666667,20,0,1,5,0,1,0,5,,7.9,46.958,0,0,0,0,155,-155,155,-155
10F,10,F,Shade,V.rosea,Solo,V.rosea.Solo,V.rosea.Solo.Shade,V.rosea.Shade.10,10F.V.rosea.Solo,0,40,100,100,NA,NA,12,14.9,15.4,14.1,14.9,14.9,14.9,14.9,14.9,14.4,14.9,16.9,15.4,14.9,16.9,17.4,16.4,16.4,8.5,8.5,11,9.333333333,7.6,7.6,9,8.066666667,8.066666667,-6.833333333,100,0,0,0,0,1,0,0,,7.9,46.958,0,44,41,155,155,0,NA,NA
10G,10,G,Open,H.glabra,Highcomp,H.glabra.Highcomp,H.glabra.Highcomp.Open,H.glabra.Open.10,10G.H.glabra.Highcomp,1,30,45,30,V.rosea,60,12.5,15.4,14.9,14.26666667,14.26666667,12.5,11,14.4,12.63333333,13.9,13.9,15.9,14.56666667,13.9,12,14.4,13.43333333,14.56666667,4.1,6.6,6.6,5.766666667,6.6,5.6,5.1,5.766666667,5.766666667,-8.5,45,0,1,8,0,0,0,2,,9.7,7.276,0,9,9,266,257.5,8.5,177,89
10G,10,G,Open,H.glabra,Solo,H.glabra.Solo,H.glabra.Solo.Open,H.glabra.Open.10,10G.H.glabra.Solo,0,30,45,45,NA,NA,12.5,15.4,14.9,14.26666667,12.63333333,12.5,11,14.4,12.63333333,13.9,13.9,15.9,14.56666667,13.9,12,14.4,13.43333333,13.43333333,4.1,6.6,6.6,5.766666667,6.6,5.6,5.1,5.766666667,5.766666667,-6.866666667,75,0,0,20,0,0,0,5,,9.7,7.276,0,6,6,177,257.5,-80.5,NA,NA
10G,10,G,Open,M.minima,Highcomp,M.minima.Highcomp,M.minima.Highcomp.Open,M.minima.Open.10,10G.M.minima.Highcomp,5,25,25,25,M.minima,25,12.5,15.4,14.9,14.26666667,14.26666667,12,13.9,14.4,13.43333333,13.9,13.9,15.9,14.56666667,10,13,9.5,10.83333333,14.56666667,4.1,6.6,6.6,5.766666667,5.1,5.1,7,5.733333333,5.766666667,-8.5,45,0,1,8,0,0,0,2,,9.7,7.276,0,2,2,2,7.666667,-5.666667,9,-7
10G,10,G,Open,M.minima,Solo,M.minima.Solo,M.minima.Solo.Open,M.minima.Open.10,10G.M.minima.Solo,0,25,25,25,NA,NA,12.5,15.4,14.9,14.26666667,13.43333333,12,13.9,14.4,13.43333333,13.9,13.9,15.9,14.56666667,10,13,9.5,10.83333333,10.83333333,4.1,6.6,6.6,5.766666667,5.1,5.1,7,5.733333333,5.733333333,-7.7,100,0,0,0,0,0,0,0,,9.7,7.276,0,9,9,9,7.666667,1.333333,NA,NA
10G,10,G,Open,T.cyanopetala,Highcomp,T.cyanopetala.Highcomp,T.cyanopetala.Highcomp.Open,T.cyanopetala.Open.10,10G.T.cyanopetala.Highcomp,1,30,45,30,T.cyanopetala,40,12.5,15.4,14.9,14.26666667,14.26666667,12.5,12.5,11.5,12.16666667,13.9,13.9,15.9,14.56666667,11.5,12,13,12.16666667,14.56666667,4.1,6.6,6.6,5.766666667,5.6,6.1,6.1,5.933333333,5.766666667,-8.5,45,0,1,8,0,0,0,2,,9.7,7.276,0,2,2,12,150,-138,50,-38
