Plot.ID,Block,Plot.letter,Treatment,Focal.sp,Competition,Species.comp.combo,Species.comp.treatment,Species.treatment.block,Plot.Focalsp.comp.combo,Neighbour.density,Focal.height,Solo.height,Height,Delta.height.highcomp.solo.pair,Leaf.length,Lat1,Lat2,Mean.Lat,Canopy.shape,Phenology.at.survey,Nearest.neighbour.sp,Nearest.neighbour.height,Soilmoisture.11.or.12.Aug.1.hicomp,Soilmoisture.11.or.12.Aug.2.hicomp,Soilmoisture.11.or.12.Aug.3.hicomp,Mean.soilmoisture.11.or.12.Aug.hicomp,Mean.SM.earlyAug,Solo.soilmoisture.Aug11or12.1,Solo.soilmoisture.Aug11or12.2,Solo.soilmoisture.Aug11or12.3,Mean.solo.soilmoisture,Soilmoisture.22.or.23.Aug.1.hicomp,Soilmoisture.22.or.23.Aug.2.hicomp,Soilmoisture.22.or.23.Aug.3.hicomp,Mean.soilmoisture.22.or.23.Aug.hicomp,Solo.soilmoisture.22or23.Aug.1,Solo.soilmoisture.22or23Aug.2,Solo.soilmoisture.22or23Aug.3,Mean.solo.soilmoisture.22or23.Aug,Mean.SM.lateAug,Soilmoisture.3Sep.hicomp.1,Soilmoisture.3Sep.hicomp.2,Soilmoisture.3Sep.hicomp.3,Mean.soilmoisture.3Sep.hicomp,Solo.soilmoisture.3Sep.1,Solo.soilmoisture.3Sep.2,Solo.soilmoisture.3Sep.3,Mean.solo.soilmoisture.3Sep,Mean.SM.Sep,Delta.MeanSM.AugSep,Bare,Moss,Crust,CWD,Rock,Near.under.log,Jam.litter,Euc.litter,Notes,Colwell.P,Canopy.cover.final,Exclude.from.analysis,Num.fl.total,Num.fl.seeding.total,Seedcount.extrap.integer,Mean.solo.seedcount.extrap.integer.block,Delta.seedcount.meansolospeciesblock,Solo.seedcount.extrap.integer,Delta.seedcount.highcomp.solo.pair,mean.trait.distance.height,mean.trait.distance.seedmass,mean.trait.distance.SLA,mean.trait.hierarchy.height,mean.trait.hierarchy.seedmass,mean.trait.hierarchy.SLA,var.trait.distance.height,var.trait.distance.seedmass,var.trait.distance.SLA,var.trait.hierarchy.height,var.trait.hierarchy.seedmass,var.trait.hierarchy.SLA,mean.trait.distance.canopyshape,var.trait.hierarchy.canopyshape,abundwghtd.mean.trait.distance.canopyshape,abundwghtd.mean.trait.distance.height,abundwghtd.mean.trait.distance.seedmass,abundwghtd.mean.trait.distance.SLA,abundwghtd.mean.trait.hierarchy.canopyshape,abundwghtd.mean.trait.hierarchy.height,abundwghtd.mean.trait.hierarchy.seedmass,abundwghtd.mean.trait.hierarchy.SLA,abundwghtd.var.trait.distance.canopyshape,abundwghtd.var.trait.distance.height,abundwghtd.var.trait.distance.seedmass,abundwghtd.var.trait.distance.SLA,abundwghtd.var.trait.hierarchy.canopyshape,abundwghtd.var.trait.hierarchy.height,abundwghtd.var.trait.hierarchy.seedmass,abundwghtd.var.trait.hierarchy.SLA,mean.trait.hierarchy.canopyshape
10C,10,C,Shade,P.canescens,Highcomp,P.canescens.Highcomp,P.canescens.Highcomp.Shade,P.canescens.Shade.10,10C.P.canescens.Highcomp,3,150,210,150,-60,45,40,30,35,0.233333333,,Not.focal.species,NA,17.9,21.3,15.9,18.36666667,18.36666667,17.4,18.4,18.4,18.06666667,18.4,19.3,24.3,20.66666667,22.8,19.3,23.8,21.96666667,20.66666667,10,12.5,9,10.5,9.5,12,13,11.5,10.5,-7.866666667,35,5,3,3,0,0,0,0,,11.5,42.4,0,6,3,123,639.25,-516.25,245,-122,37.30129873,0.085137659,4.13546954,-37.30129873,0.085137659,4.13546954,NA,NA,NA,NA,NA,NA,0.02353611,NA,0.02353611,37.30129873,0.085137659,4.13546954,-0.02353611,-37.30129873,0.085137659,4.13546954,0,0,0,0,0,0,0,0,-0.02353611
10C,10,C,Shade,V.rosea,Highcomp,V.rosea.Highcomp,V.rosea.Highcomp.Shade,V.rosea.Shade.10,10C.V.rosea.Highcomp,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not.focal.species,NA,17.9,21.3,15.9,18.36666667,18.36666667,19.3,19.8,17.9,19,18.4,19.3,24.3,20.66666667,21.8,20.3,17.9,20,20.66666667,10,12.5,9,10.5,12,11.5,10,11.16666667,10.5,-7.866666667,35,5,3,3,0,0,0,0,,11.5,42.4,1,15,15,77,155,-78,37,40,67.1789773,2.250454326,17.71490401,-67.1789773,2.250454326,17.71490401,NA,NA,NA,NA,NA,NA,1.79713339,NA,1.79713339,67.1789773,2.250454326,17.71490401,1.79713339,-67.1789773,2.250454326,17.71490401,0,0,0,0,0,0,0,0,1.79713339
10D,10,D,Shade,A.calendula,Highcomp,A.calendula.Highcomp,A.calendula.Highcomp.Shade,A.calendula.Shade.10,10D.A.calendula.Highcomp,2,90,100,90,-10,105,95,20,57.5,0.638888889,B,Not.focal.species,NA,17.9,15.4,18.4,17.23333333,17.23333333,16.9,15.9,11.5,14.76666667,16.9,15.9,19.8,17.53333333,17.4,15.9,17.4,16.9,17.53333333,5.6,6.6,NA,6.1,5.1,6.1,6.1,5.766666667,6.1,-11.13333333,35,55,1,5,1,0,0,2,,11.2,42.911,0,9,9,306,274,32,124,182,14.29629628,0.283736008,1.37534412,-14.29629628,-0.283736008,1.37534412,408.7681747,0.161012244,3.783142897,408.7681747,0.161012244,3.783142897,0.533932095,0.570166964,0.533932095,14.29629628,0.283736008,1.37534412,0.533932095,-14.29629628,-0.283736008,1.37534412,0.570166964,408.7681747,0.161012244,3.783142897,0.570166964,408.7681747,0.161012244,3.783142897,0.533932095
10D,10,D,Shade,H.glabra,Highcomp,H.glabra.Highcomp,H.glabra.Highcomp.Shade,H.glabra.Shade.10,10D.H.glabra.Highcomp,4,15,50,15,-35,25,25,15,20,1.333333333,,Not.focal.species,NA,17.9,15.4,18.4,17.23333333,17.23333333,14.4,13,13.9,13.76666667,16.9,15.9,19.8,17.53333333,13.5,15.4,13.9,14.26666667,17.53333333,5.6,6.6,NA,6.1,4.6,5.6,6.1,5.433333333,6.1,-11.13333333,35,55,1,5,1,0,0,2,,11.2,42.911,0,1,1,NA,215.5,NA,326,NA,41.88150738,1.535365595,20.51813433,-41.88150738,-1.283243376,20.51813433,630.0869937,1.719167417,60.66239971,630.0869937,2.785118338,60.66239971,NA,NA,NA,42.86946386,1.468639255,20.76882825,NA,-42.86946386,-1.279547591,20.76882825,NA,423.9622279,1.163921229,40.69298957,NA,423.9622279,1.856800194,40.69298957,NA
10D,10,D,Shade,P.canescens,Highcomp,P.canescens.Highcomp,P.canescens.Highcomp.Shade,P.canescens.Shade.10,10D.P.canescens.Highcomp,1,290,205,290,85,75,140,50,95,0.327586207,,Not.focal.species,NA,17.9,15.4,18.4,17.23333333,17.23333333,16.9,14.4,14.9,15.4,16.9,15.9,19.8,17.53333333,18.4,16.4,16.4,17.06666667,17.53333333,5.6,6.6,NA,6.1,5.6,5.6,NA,5.6,6.1,-11.13333333,35,55,1,5,1,0,0,2,,11.2,42.911,0,42,25,1305,639.25,665.75,851,454,37.30129873,0.085137659,4.13546954,-37.30129873,0.085137659,4.13546954,NA,NA,NA,NA,NA,NA,0.02353611,NA,0.02353611,37.30129873,0.085137659,4.13546954,-0.02353611,-37.30129873,0.085137659,4.13546954,NA,NA,NA,NA,NA,NA,NA,NA,-0.02353611
10E,10,E,Open,A.calendula,Highcomp,A.calendula.Highcomp,A.calendula.Highcomp.Open,A.calendula.Open.10,10E.A.calendula.Highcomp,NA,160,115,160,45,180,160,110,135,0.84375,,Not.focal.species,NA,11.5,11.5,12.5,11.83333333,11.83333333,13.9,13,12.5,13.13333333,14.4,13,14,13.8,13.9,14.4,16.4,14.9,13.8,3.6,5.6,8.1,5.766666667,6.1,6.6,6.1,6.266666667,5.766666667,-6.066666667,15,20,0,40,0,1,0,1,,6.9,2.495,0,22,22,583,560.5,22.5,405,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10E,10,E,Open,P.canescens,Highcomp,P.canescens.Highcomp,P.canescens.Highcomp.Open,P.canescens.Open.10,10E.P.canescens.Highcomp,2,330,190,330,140,110,200,50,125,0.378787879,B,P.canescens,170,11.5,11.5,12.5,11.83333333,11.83333333,13.5,14.4,15.4,14.43333333,14.4,13,14,13.8,13.9,15.9,17.4,15.73333333,13.8,3.6,5.6,8.1,5.766666667,5.6,6.6,5.1,5.766666667,5.766666667,-6.066666667,15,20,0,40,0,1,0,1,,6.9,2.495,0,41,30,3137,2412,725,2519,618,31.08571427,0.214345,2.326581595,-31.08571427,-0.214345,-2.326581595,1932.643263,0.091887558,10.82596384,1932.643263,0.091887558,10.82596384,NA,NA,NA,31.08571427,0.214345,2.326581595,NA,-31.08571427,-0.214345,-2.326581595,NA,1932.643263,0.091887558,10.82596384,NA,1932.643263,0.091887558,10.82596384,NA
10E,10,E,Open,T.cyanopetala,Highcomp,T.cyanopetala.Highcomp,T.cyanopetala.Highcomp.Open,T.cyanopetala.Open.10,10E.T.cyanopetala.Highcomp,1,25,140,25,-115,20,15,5,10,0.4,,T.cyanopetala,50,11.5,11.5,12.5,11.83333333,11.83333333,11.5,11.5,12.5,11.83333333,14.4,13,14,13.8,14.9,17.4,18.4,16.9,13.8,3.6,5.6,8.1,5.766666667,4.1,6.1,7.6,5.933333333,5.766666667,-6.066666667,15,20,0,40,0,1,0,1,,6.9,2.495,0,3,3,8,150,-142,150,-142,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
10F,10,F,Shade,H.glabra,Highcomp,H.glabra.Highcomp,H.glabra.Highcomp.Shade,H.glabra.Shade.10,10F.H.glabra.Highcomp,1,60,35,60,25,150,150,120,135,2.25,BF,Not.focal.species,NA,12,14.9,15.4,14.1,14.1,16.9,17.4,17.4,17.23333333,14.4,14.9,16.9,15.4,21.3,18.4,19.3,19.66666667,15.4,8.5,8.5,11,9.333333333,8.5,8.5,9.5,8.833333333,9.333333333,-4.766666667,20,0,1,5,0,1,0,5,,7.9,46.958,0,10,10,504,215.5,288.5,105,399,20,0.385199029,18.45892421,-20,0.385199029,18.45892421,NA,NA,NA,NA,NA,NA,1.96571635,NA,1.96571635,20,0.385199029,18.45892421,1.96571635,-20,0.385199029,18.45892421,NA,NA,NA,NA,NA,NA,NA,NA,1.96571635
10F,10,F,Shade,P.canescens,Highcomp,P.canescens.Highcomp,P.canescens.Highcomp.Shade,P.canescens.Shade.10,10F.P.canescens.Highcomp,0,80,280,80,-200,70,70,45,57.5,0.71875,I,Not.focal.species,NA,12,14.9,15.4,14.1,14.1,16.4,18.4,18.4,17.73333333,14.4,14.9,16.9,15.4,19.8,18.4,19.8,19.33333333,15.4,8.5,8.5,11,9.333333333,8.5,8.5,11,9.333333333,9.333333333,-4.766666667,20,0,1,5,0,1,0,5,,7.9,46.958,0,12,8,444,639.25,-195.25,848,-404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10F,10,F,Shade,T.cyanopetala,Highcomp,T.cyanopetala.Highcomp,T.cyanopetala.Highcomp.Shade,T.cyanopetala.Shade.10,10F.T.cyanopetala.Highcomp,2,20,120,20,-100,13,12,5,8.5,0.425,I,T.cyanopetala,15,12,14.9,15.4,14.1,14.1,12.5,13,13.5,13,14.4,14.9,16.9,15.4,13.5,14.9,14.9,14.43333333,15.4,8.5,8.5,11,9.333333333,5.6,5.6,6.1,5.766666667,9.333333333,-4.766666667,20,0,1,5,0,1,0,5,,7.9,46.958,0,2,2,6,21,-15,42,-36,19.46875,0.020128572,2.28468128,19.46875,0.020128572,2.28468128,758.0644531,0.000810319,10.4395371,758.0644531,0.000810319,10.4395371,0.07145664,0.010212103,0.07145664,19.46875,0.020128572,2.28468128,0.07145664,19.46875,0.020128572,2.28468128,0.010212103,758.0644531,0.000810319,10.4395371,0.010212103,758.0644531,0.000810319,10.4395371,0.07145664
10F,10,F,Shade,V.rosea,Highcomp,V.rosea.Highcomp,V.rosea.Highcomp.Shade,V.rosea.Shade.10,10F.V.rosea.Highcomp,1,40,100,40,-60,50,140,80,110,2.75,,Not.focal.species,NA,12,14.9,15.4,14.1,14.1,14.9,14.9,14.9,14.9,14.4,14.9,16.9,15.4,14.9,16.9,17.4,16.4,15.4,8.5,8.5,11,9.333333333,7.6,7.6,9,8.066666667,9.333333333,-4.766666667,20,0,1,5,0,1,0,5,,7.9,46.958,0,0,0,0,155,-155,155,-155,22.40625,2.257470027,8.417041,-22.40625,2.257470027,8.417041,NA,NA,NA,NA,NA,NA,2.08185905,NA,2.08185905,22.40625,2.257470027,8.417041,2.08185905,-22.40625,2.257470027,8.417041,NA,NA,NA,NA,NA,NA,NA,NA,2.08185905
10G,10,G,Open,H.glabra,Highcomp,H.glabra.Highcomp,H.glabra.Highcomp.Open,H.glabra.Open.10,10G.H.glabra.Highcomp,1,30,45,30,-15,70,70,20,45,1.5,B,V.rosea,60,12.5,15.4,14.9,14.26666667,14.26666667,12.5,11,14.4,12.63333333,13.9,13.9,15.9,14.56666667,13.9,12,14.4,13.43333333,14.56666667,4.1,6.6,6.6,5.766666667,6.6,5.6,5.1,5.766666667,5.766666667,-8.5,45,0,1,8,0,0,0,2,,9.7,7.276,0,9,9,266,257.5,8.5,177,89,2.40625,1.872270998,10.04188321,2.40625,-1.872270998,10.04188321,NA,NA,NA,NA,NA,NA,0.1161427,NA,0.1161427,2.40625,1.872270998,10.04188321,-0.1161427,2.40625,-1.872270998,10.04188321,NA,NA,NA,NA,NA,NA,NA,NA,-0.1161427
10G,10,G,Open,M.minima,Highcomp,M.minima.Highcomp,M.minima.Highcomp.Open,M.minima.Open.10,10G.M.minima.Highcomp,5,25,25,25,0,6,4,3,3.5,0.14,,M.minima,25,12.5,15.4,14.9,14.26666667,14.26666667,12,13.9,14.4,13.43333333,13.9,13.9,15.9,14.56666667,10,13,9.5,10.83333333,14.56666667,4.1,6.6,6.6,5.766666667,5.1,5.1,7,5.733333333,5.766666667,-8.5,45,0,1,8,0,0,0,2,,9.7,7.276,0,2,2,2,7.666667,-5.666667,9,-7,19.57608695,0.184457597,2.14290252,-19.57608695,0.184457597,0.379351107,598.0580103,0.042089364,3.767814747,598.0580103,0.042089364,10.44000067,NA,NA,NA,11.74565217,0.110674558,1.285741512,NA,-11.74565217,0.110674558,0.227610664,NA,413.9959593,0.031252064,3.261516737,NA,413.9959593,0.031252064,5.263172513,NA
10G,10,G,Open,T.cyanopetala,Highcomp,T.cyanopetala.Highcomp,T.cyanopetala.Highcomp.Open,T.cyanopetala.Open.10,10G.T.cyanopetala.Highcomp,1,30,45,30,-15,24,20,10,15,0.5,,T.cyanopetala,40,12.5,15.4,14.9,14.26666667,14.26666667,12.5,12.5,11.5,12.16666667,13.9,13.9,15.9,14.56666667,11.5,12,13,12.16666667,14.56666667,4.1,6.6,6.6,5.766666667,5.6,6.1,6.1,5.933333333,5.766666667,-8.5,45,0,1,8,0,0,0,2,,9.7,7.276,0,2,2,12,150,-138,50,-38,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
10G,10,G,Open,V.rosea,Highcomp,V.rosea.Highcomp,V.rosea.Highcomp.Open,V.rosea.Open.10,10G.V.rosea.Highcomp,NA,60,70,60,-10,40,120,40,80,1.333333333,BF,NA,NA,12.5,15.4,14.9,14.26666667,14.26666667,12,16.4,13.9,14.1,13.9,13.9,15.9,14.56666667,17.9,13.9,14.4,15.4,14.56666667,4.1,6.6,6.6,5.766666667,4.6,4.6,6.6,5.266666667,5.766666667,-8.5,45,0,1,8,0,0,0,2,,9.7,7.276,0,31,29,90,62,28,80,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
