Plot.ID,Block,Plot.letter,Treatment,Competition,Species,delta.SM.AugSep,Mean.SM.earlyAug,Mean.SM.lateAug,Mean.SM.Sep
12H,12,H,Open,Solo,H.glabra,-5.9,10.83333333,10.66666667,4.933333333
12H,12,H,Open,Solo,H.glutinosum,NA,NA,11,6.266666667
12H,12,H,Open,Solo,V.rosea,-4.233333333,10.33333333,12,6.1
12I,12,I,Shade,Solo,A.calendula,-8.666666667,13.6,15.06666667,4.933333333
12I,12,I,Shade,Solo,M.minima,-8.566666667,12.96666667,14.6,4.4
12I,12,I,Shade,Solo,P.airoides,-6.9,12.16666667,13.8,5.266666667
12J,12,J,Open,Solo,H.glabra,-10.8,16.9,17.86666667,6.1
12J,12,J,Open,Solo,M.minima,-11.46666667,16.9,16.73333333,5.433333333
12K,12,K,Shade,Solo,A.calendula,-7.9,12.83333333,14.26666667,4.933333333
12K,12,K,Shade,Solo,M.minima,-6.9,11.83333333,14.6,4.933333333
12K,12,K,Shade,Solo,T.cyanopetala,NA,NA,14.6,5.766666667
12K,12,K,Shade,Solo,V.rosea,-6.7,13.46666667,16.06666667,6.766666667
12L,12,L,Open,Solo,A.calendula,-8.033333333,14.13333333,16.56666667,6.1
12L,12,L,Open,Solo,M.minima,-6.366666667,12.63333333,18.83333333,6.266666667
12L,12,L,Open,Solo,V.rosea,-17.5,23.6,21.46666667,6.1
12M,12,M,Shade,Solo,A.calendula,-8.333333333,16.4,14.43333333,8.066666667
12M,12,M,Shade,Solo,P.airoides,-6.033333333,12.8,13.93333333,6.766666667
12N,12,N,Open,Solo,T.cyanopetala,-7.666666667,15.1,14.4,7.433333333
12O,12,O,Shade,Solo,H.glabra,-12.4,20.63333333,23.76666667,8.233333333
15A,15,A,Open,Solo,A.calendula,-11.3,21.3,24.9,10
15A,15,A,Open,Solo,H.glabra,-8.866666667,17.06666667,21.8,8.2
15A,15,A,Open,Solo,P.airoides,-12.33333333,20.83333333,22.63333333,8.5
15A,15,A,Open,Solo,T.cyanopetala,-9.9,20.23333333,24.1,10.33333333
15B,15,B,Open,Solo,A.calendula,-11.8,21.3,26.06666667,9.5
15B,15,B,Open,Solo,M.minima,-9.8,19,25.56666667,9.2
15B,15,B,Open,Solo,P.canescens,-13.1,19.66666667,23.43333333,6.566666667
15B,15,B,Open,Solo,T.cyanopetala,-13.3,23.13333333,22.46666667,9.833333333
15C,15,C,Shade,Solo,H.glutinosum,-12.43333333,21.96666667,26.53333333,9.533333333
15C,15,C,Shade,Solo,M.minima,-8.833333333,15.93333333,21,7.1
15C,15,C,Shade,Solo,P.canescens,-10.93333333,20.46666667,25.06666667,9.533333333
15C,15,C,Shade,Solo,T.cyanopetala,-6.866666667,17.06666667,27.2,10.2
15D,15,D,Shade,Solo,H.glutinosum,-8.033333333,13.13333333,16.56666667,5.1
15D,15,D,Shade,Solo,P.canescens,-8.033333333,12.8,17.56666667,4.766666667
15D,15,D,Shade,Solo,T.cyanopetala,-6.733333333,12,17.56666667,5.266666667
15D,15,D,Shade,Solo,V.rosea,-7.666666667,13.6,18.03333333,5.933333333
15E,15,E,Open,Solo,A.calendula,-10.93333333,17.86666667,19.96666667,6.933333333
15E,15,E,Open,Solo,H.glutinosum,-4.533333333,12.13333333,17.36666667,7.6
15E,15,E,Open,Solo,M.minima,-7.716666667,14.56666667,18.53333333,6.85
15E,15,E,Open,Solo,P.canescens,-7.866666667,12.96666667,17.06666667,5.1
15F,15,F,Shade,Solo,A.calendula,-6.333333333,14.4,18.23333333,8.066666667
15F,15,F,Shade,Solo,H.glabra,-6.066666667,12.33333333,15.9,6.266666667
15F,15,F,Shade,Solo,P.airoides,-4.4,9.833333333,NA,5.433333333
15F,15,F,Shade,Solo,P.canescens,-7.466666667,14.23333333,17.73333333,6.766666667
15F,15,F,Shade,Solo,V.rosea,-5.233333333,12.33333333,15.9,7.1
15G,15,G,Shade,Solo,H.glabra,NA,10.83333333,14.56666667,NA
15G,15,G,Shade,Solo,V.rosea,NA,12.16666667,14.76666667,NA
15H,15,H,Shade,Solo,H.glabra,-11.3,25.53333333,30.3,14.23333333
15H,15,H,Shade,Solo,M.minima,-13.83333333,27.76666667,29.8,13.93333333
15H,15,H,Shade,Solo,P.canescens,-8.3,15.23333333,19.66666667,6.933333333
15I,15,I,Open,Solo,H.glutinosum,-7.9,11.83333333,14.73333333,3.933333333
15I,15,I,Open,Solo,P.airoides,-7.4,11.33333333,14.26666667,3.933333333
15I,15,I,Open,Solo,P.canescens,-7.733333333,11.83333333,15.56666667,4.1
15I,15,I,Open,Solo,V.rosea,-7.566666667,12.33333333,15.93333333,4.766666667
15J,15,J,Shade,Solo,H.glutinosum,-6.533333333,13.46666667,17.56666667,6.933333333
15J,15,J,Shade,Solo,P.airoides,-6.4,12.83333333,17.06666667,6.433333333
15J,15,J,Shade,Solo,V.rosea,-6.4,12.33333333,16.23333333,5.933333333
15K,15,K,Open,Solo,H.glabra,-10.63333333,16.23333333,18.7,5.6
15L,15,L,Open,Solo,V.rosea,-5.233333333,8.7,9.333333333,3.466666667
15M,15,M,Shade,Solo,M.minima,-9.5,19.66666667,21.96666667,10.16666667
15M,15,M,Shade,Solo,T.cyanopetala,-9.666666667,20.33333333,24.93333333,10.66666667
2A,2,A,Shade,Solo,H.glutinosum,-14.13333333,18.23333333,17.56666667,4.1
2A,2,A,Shade,Solo,P.airoides,-14.13333333,18.23333333,19.96666667,4.1
2A,2,A,Shade,Solo,P.canescens,-12.8,17.9,20.16666667,5.1
2B,2,B,Open,Solo,A.calendula,-9.333333333,14.43333333,14.9,5.1
2B,2,B,Open,Solo,H.glutinosum,-10.13333333,15.56666667,16.23333333,5.433333333
2B,2,B,Open,Solo,P.airoides,-10.63333333,15.9,15.56666667,5.266666667
2B,2,B,Open,Solo,P.canescens,-10.8,16.06666667,14.9,5.266666667
2B,2,B,Open,Solo,T.cyanopetala,-9,14.6,15.9,5.6
2C,2,C,Shade,Solo,H.glutinosum,-6.866666667,14.3,15.06666667,7.433333333
2C,2,C,Shade,Solo,P.airoides,-7.633333333,15.06666667,17.9,7.433333333
2C,2,C,Shade,Solo,V.rosea,-7.066666667,16.56666667,17.06666667,9.5
2D,2,D,Open,Solo,H.glabra,-6.833333333,13.6,15.9,6.766666667
2D,2,D,Open,Solo,H.glutinosum,-7.7,13.46666667,13.76666667,5.766666667
2D,2,D,Open,Solo,P.airoides,-8.5,15.9,15.76666667,7.4
2E,2,E,Open,Solo,H.glabra,-14.13333333,22.96666667,20.33333333,8.833333333
2E,2,E,Open,Solo,M.minima,-12.3,21.46666667,18.7,9.166666667
2E,2,E,Open,Solo,P.canescens,-14.76666667,24.6,21.3,9.833333333
2E,2,E,Open,Solo,T.cyanopetala,-10.6,18.33333333,17.4,7.733333333
2F,2,F,Open,Solo,H.glabra,-10.63333333,19,19.2,8.366666667
2F,2,F,Open,Solo,M.minima,-17.36666667,24.76666667,21.46666667,7.4
2F,2,F,Open,Solo,P.canescens,NA,NA,22.93333333,11.16666667
2F,2,F,Open,Solo,T.cyanopetala,-15.86666667,25.4,27.7,9.533333333
2G,2,G,Shade,Solo,A.calendula,-8.366666667,14.13333333,13.76666667,5.766666667
2G,2,G,Shade,Solo,M.minima,-6.566666667,14.93333333,16.9,8.366666667
2G,2,G,Shade,Solo,T.cyanopetala,-8.366666667,13.8,15.73333333,5.433333333
2G,2,G,Shade,Solo,V.rosea,-10.66666667,18.23333333,18.83333333,7.566666667
2H,2,H,Shade,Solo,A.calendula,-8.333333333,13.6,13.76666667,5.266666667
2H,2,H,Shade,Solo,H.glabra,-7.533333333,15.9,15.23333333,8.366666667
2H,2,H,Shade,Solo,V.rosea,-6.966666667,13.9,13.93333333,6.933333333
2I,2,I,Shade,Solo,A.calendula,-8,14.26666667,16.73333333,6.266666667
2I,2,I,Shade,Solo,M.minima,-8.8,15.23333333,17.06666667,6.433333333
2I,2,I,Shade,Solo,V.rosea,-9.166666667,16.06666667,16.4,6.9
2J,2,J,Open,Solo,V.rosea,NA,NA,NA,5.1
2K,2,K,Shade,Solo,H.glabra,-6.433333333,13.33333333,13.3,6.9
2K,2,K,Shade,Solo,P.canescens,-8.5,14.1,12.66666667,5.6
2K,2,K,Shade,Solo,T.cyanopetala,-8.8,15.06666667,14.9,6.266666667
2L,2,L,Open,Solo,A.calendula,-6.733333333,11.66666667,13.93333333,4.933333333
2L,2,L,Open,Solo,V.rosea,-6.066666667,10.66666667,12.8,4.6
6A,6,A,Shade,Solo,H.glutinosum,-8.833333333,16.4,14.93333333,7.566666667
6A,6,A,Shade,Solo,P.airoides,-8.666666667,14.76666667,14.9,6.1
6A,6,A,Shade,Solo,P.canescens,-9.3,16.9,17.86666667,7.6
6B,6,B,Shade,Solo,H.glabra,-6.566666667,16.23333333,14.6,9.666666667
6B,6,B,Shade,Solo,H.glutinosum,-6.2,14.4,13.46666667,8.2
6B,6,B,Shade,Solo,P.airoides,-5.7,15.06666667,13.76666667,9.366666667
6C,6,C,Open,Solo,H.glabra,-4.9,11.5,10.5,6.6
6C,6,C,Open,Solo,H.glutinosum,-6.033333333,13.93333333,13.1,7.9
6C,6,C,Open,Solo,P.airoides,-6.966666667,14.73333333,13.63333333,7.766666667
6D,6,D,Open,Solo,A.calendula,-7.633333333,14.56666667,14.1,6.933333333
6D,6,D,Open,Solo,H.glutinosum,-8.5,13.93333333,12.16666667,5.433333333
6D,6,D,Open,Solo,T.cyanopetala,-6.9,11.66666667,11.66666667,4.766666667
6E,6,E,Open,Solo,A.calendula,-6.233333333,12.66666667,12.5,6.433333333
6E,6,E,Open,Solo,P.airoides,-4.566666667,9.333333333,9.166666667,4.766666667
6E,6,E,Open,Solo,P.canescens,-5.233333333,10.33333333,9.5,5.1
6F,6,F,Shade,Solo,A.calendula,-6.866666667,12.13333333,12.46666667,5.266666667
6F,6,F,Shade,Solo,H.glabra,-7.066666667,11.16666667,9.2,4.1
6F,6,F,Shade,Solo,P.canescens,-7.033333333,13.46666667,13,6.433333333
6F,6,F,Shade,Solo,V.rosea,-7.8,15.06666667,16.9,7.266666667
6G,6,G,Open,Solo,H.glabra,-6.366666667,12.3,11.33333333,5.933333333
6G,6,G,Open,Solo,M.minima,-4.4,10.5,10.16666667,6.1
6H,6,H,Open,Solo,M.minima,-4.766666667,8.533333333,8.4,3.766666667
6H,6,H,Open,Solo,V.rosea,-3.733333333,8.5,7.9,4.766666667
6I,6,I,Shade,Solo,A.calendula,-7.866666667,13.13333333,12,5.266666667
6I,6,I,Shade,Solo,M.minima,-3.9,9.5,9.833333333,5.6
6J,6,J,Shade,Solo,M.minima,-7.4,12.5,11,5.1
6J,6,J,Shade,Solo,V.rosea,-6.233333333,11,11.5,4.766666667
6K,6,K,Shade,Solo,T.cyanopetala,-7.5,13.43333333,13.46666667,5.933333333
6K,6,K,Shade,Solo,V.rosea,-11.96666667,18.23333333,16.4,6.266666667
6L,6,L,Open,Solo,P.canescens,-6.066666667,10.83333333,9.5,4.766666667
6L,6,L,Open,Solo,T.cyanopetala,-5.566666667,11,11.33333333,5.433333333
6M,6,M,Open,Solo,V.rosea,-6.066666667,10.66666667,9.5,4.6
6N,6,N,Open,Solo,V.rosea,-4.4,10.16666667,10.66666667,5.766666667
6O,6,O,Shade,Solo,T.cyanopetala,-7.4,12.16666667,11,4.766666667
