Pot.ID.number,Pot.ID,Species.combo,Density.bin.adjusted,Trtmnt.replicate,Species,Mix.type.forplottingWA,Mix.type.forplottingWP,Final.density,Starting.density,Competitor.ID,Conspecific.abundance,Rel.freq,Biomass.sp,Finalcount.sp,Repro.count.sp,Mean.biomass.plant,Root.biomass.sp,Root.biomass.perindivid,Dead.density,propsurv
28,Ac.H.5,Ac,mono.high,5,A.cupaniana,NA,NA,50,50,A.cupaniana,50,NA,1.3,50,45,0.026,NA,NA,0,1
29,Ac.M.3,Ac,mono.high,3,A.cupaniana,NA,NA,46,50,A.cupaniana,50,NA,1.2104,46,27,0.026313043,NA,NA,4,0.92
30,Wa.Pa.H.2,Wa.Pa,mix.high,2,P.airoides,P.airoides,P.airoides,3,10,W.acuminata,10,0.17,0.035,3,0,0.011666667,NA,NA,7,0.3
31,Wa.Pa.M.1,Wa.Pa,mix.med,1,P.airoides,P.airoides,P.airoides,30,30,W.acuminata,30,0.5,0.5585,30,8,0.018616667,NA,NA,0,1
32,Wa.Pa.M.3,Wa.Pa,mix.med,3,P.airoides,P.airoides,P.airoides,11,30,W.acuminata,30,0.5,0.9662,11,2,0.087836364,0.2225,0.0202272727,19,0.3666666667
33,Wa.Pa.M.5,Wa.Pa,mix.med,5,P.airoides,P.airoides,P.airoides,30,30,W.acuminata,30,0.5,0.0617,7,0,0.008814286,NA,NA,0,1
34,Wa.Pa.L.1,Wa.Pa,mix.low,1,P.airoides,P.airoides,P.airoides,34,50,W.acuminata,50,0.83,1.2935,34,13,0.038044118,NA,NA,16,0.68
35,Wa.Pa.L.2,Wa.Pa,mix.low,2,P.airoides,P.airoides,P.airoides,50,50,W.acuminata,50,0.83,2.39,50,22,0.0478,NA,NA,0,1
36,Wa.Pa.L.3,Wa.Pa,mix.low,3,P.airoides,P.airoides,P.airoides,12,50,W.acuminata,50,0.83,0.3115,12,6,0.025958333,NA,NA,38,0.24
37,Wa.Pa.L.5,Wa.Pa,mix.low,5,P.airoides,P.airoides,P.airoides,50,50,W.acuminata,50,0.83,1.7989,50,35,0.035978,NA,NA,0,1
38,Pa.H.1,Pa,mono.high,1,P.airoides,P.airoides,P.airoides,44,50,P.airoides,50,1,1.5952,44,9,0.036254545,NA,NA,6,0.88
39,Pa.H.3,Pa,mono.high,3,P.airoides,P.airoides,P.airoides,40,50,P.airoides,50,1,1.82,40,22,0.0455,NA,NA,10,0.8
40,Pa.H.4,Pa,mono.high,4,P.airoides,P.airoides,P.airoides,46,50,P.airoides,50,1,2.62,46,26,0.056956522,NA,NA,4,0.92
41,Pa.2,Pa,control,2,P.airoides,NA,NA,1,1,Control,1,NA,0.02,1,0,0.02,NA,NA,0,1
42,Pa.4,Pa,control,4,P.airoides,NA,NA,1,1,P.airoides,1,NA,0.08,1,1,0.08,0.02,0.02,0,1
43,Pa.5,Pa,control,5,P.airoides,NA,NA,1,1,Control,1,NA,0.0033,1,0,0.0033,0.0025,0.0025,0,1
44,Pa.3,Pa,mono.low,3,P.airoides,NA,NA,1,10,P.airoides,10,NA,0.039,1,0,0.039,0.01,0.01,9,0.1
45,Pa.L.1,Pa,mono.low,1,P.airoides,NA,NA,6,10,P.airoides,10,NA,0.2439,6,0,0.04065,NA,NA,4,0.6
46,Pa.L.2,Pa,mono.low,2,P.airoides,NA,NA,8,10,P.airoides,10,NA,1.02,8,8,0.1275,0.2394,0.029925,2,0.8
47,Pa.L.3,Pa,mono.low,3,P.airoides,NA,NA,8,10,P.airoides,10,NA,0.489,8,8,0.061125,NA,NA,2,0.8
48,Pa.L.4,Pa,mono.low,4,P.airoides,NA,NA,6,10,P.airoides,10,NA,1.641,6,5,0.2735,NA,NA,4,0.6
49,Pa.L.5,Pa,mono.low,5,P.airoides,NA,NA,10,10,P.airoides,10,NA,1.2651,10,10,0.12651,NA,NA,0,1
50,Pa.M.1,Pa,mono.low,1,P.airoides,NA,NA,6,10,P.airoides,10,NA,0.2402,6,2,0.040033333,NA,NA,4,0.6
51,Pa.H.2,Pa,mono.med,2,P.airoides,NA,NA,30,30,P.airoides,30,NA,2.47,30,21,0.082333333,NA,NA,0,1
52,Pa.M.3,Pa,mono.med,3,P.airoides,NA,NA,6,30,P.airoides,30,NA,0.0857,6,1,0.014283333,NA,NA,24,0.2
53,Pa.M.4,Pa,mono.med,4,P.airoides,NA,NA,23,30,P.airoides,30,NA,0.993,23,19,0.043173913,NA,NA,7,0.7666666667
54,Pa.M.5,Pa,mono.med,5,P.airoides,NA,NA,25,30,P.airoides,30,NA,0.762,25,0,0.03048,NA,NA,5,0.8333333333
55,Wa.Ac.L.1,Wa.Ac,mix.low,1,W.acuminata,W.A,W.A,4,10,A.cupaniana,10,0.17,0.4884,4,3,0.1221,NA,NA,6,0.4
56,Wa.Ac.L.2,Wa.Ac,mix.low,2,W.acuminata,W.A,W.A,8,10,A.cupaniana,10,0.17,1.02,8,5,0.1275,NA,NA,2,0.8
57,Wa.Ac.L.3,Wa.Ac,mix.low,3,W.acuminata,W.A,W.A,10,10,A.cupaniana,10,0.17,1.7431,10,7,0.17431,NA,NA,0,1
58,Wa.Ac.L.4,Wa.Ac,mix.low,4,W.acuminata,W.A,W.A,7,10,A.cupaniana,10,0.17,1.034,7,3,0.147714286,NA,NA,3,0.7
59,Wa.Ac.L.5,Wa.Ac,mix.low,5,W.acuminata,W.A,W.A,8,10,A.cupaniana,10,0.17,1.6052,8,7,0.20065,NA,NA,2,0.8
60,Wa.Pa.L.1,Wa.Pa,mix.low,1,W.acuminata,W.P,W.P,4,10,P.airoides,10,0.17,0.1076,4,2,0.0269,NA,NA,6,0.4
61,Wa.Pa.L.2,Wa.Pa,mix.low,2,W.acuminata,W.P,W.P,2,10,P.airoides,10,0.17,0.048,2,0,0.024,NA,NA,8,0.2
62,Wa.Pa.L.3,Wa.Pa,mix.low,3,W.acuminata,W.P,W.P,2,5,P.airoides,10,0.17,0.3647,2,2,0.18235,NA,NA,3,0.4
63,Wa.Ac.H.3,Wa.Ac,mix.med,3,W.acuminata,W.A,W.A,20,30,A.cupaniana,30,0.5,1.6745,19,10,0.088131579,NA,NA,10,0.6666666667
64,Wa.Ac.M.1,Wa.Ac,mix.med,1,W.acuminata,W.A,W.A,16,30,A.cupaniana,30,0.5,1.3539,16,9,0.08461875,NA,NA,14,0.5333333333
65,Wa.Ac.M.2,Wa.Ac,mix.med,2,W.acuminata,W.A,W.A,28,30,A.cupaniana,30,0.5,2.1398,28,8,0.076421429,NA,NA,2,0.9333333333
66,Wa.Ac.M.3,Wa.Ac,mix.med,3,W.acuminata,W.A,W.A,18,30,A.cupaniana,30,0.5,1.423,18,8,0.079055556,NA,NA,12,0.6
67,Wa.Ac.M.4,Wa.Ac,mix.med,4,W.acuminata,W.A,W.A,13,30,A.cupaniana,30,0.5,1.0599,13,7,0.081530769,NA,NA,17,0.4333333333
68,Wa.Ac.M.5,Wa.Ac,mix.med,5,W.acuminata,W.A,W.A,19,30,A.cupaniana,30,0.5,2.49,19,10,0.131052632,NA,NA,11,0.6333333333
69,Wa.Pa.M.1,Wa.Pa,mix.med,1,W.acuminata,W.P,W.P,14,30,P.airoides,30,0.5,1.0412,14,4,0.074371429,NA,NA,16,0.4666666667
70,Wa.Pa.M.3,Wa.Pa,mix.med,3,W.acuminata,W.P,W.P,14,30,P.airoides,30,0.5,0.8828,12,3,0.073566667,NA,NA,16,0.4666666667
71,Wa.Pa.M.5,Wa.Pa,mix.med,5,W.acuminata,W.P,W.P,19,30,P.airoides,30,0.5,1.8685,23,15,0.08123913,NA,NA,11,0.6333333333
72,Wa.Ac.H.1,Wa.Ac,mix.high,1,W.acuminata,W.A,W.A,13,50,A.cupaniana,50,0.83,0.909,13,9,0.069923077,NA,NA,37,0.26
73,Wa.Ac.H.2,Wa.Ac,mix.high,2,W.acuminata,W.A,W.A,26,50,A.cupaniana,50,0.83,2.2641,26,16,0.087080769,NA,NA,24,0.52
74,Wa.Ac.H.4,Wa.Ac,mix.high,4,W.acuminata,W.A,W.A,50,50,A.cupaniana,50,0.83,2.1329,50,19,0.042658,NA,NA,0,1
75,Wa.Ac.H.5,Wa.Ac,mix.high,5,W.acuminata,W.A,W.A,36,50,A.cupaniana,50,0.83,2.2572,36,11,0.0627,NA,NA,14,0.72
76,Wa.Pa.H.2,Wa.Pa,mix.high,2,W.acuminata,W.P,W.P,22,50,P.airoides,50,0.83,2.0716,22,2,0.094163636,NA,NA,28,0.44
77,Wa.3,Wa,mono.60,3,W.acuminata,W.A,W.P,34,60,W.acuminata,60,1,2.7249,34,5,0.080144118,0.44,0.0129411765,26,0.5666666667
78,Wa.4,Wa,mono.60,4,W.acuminata,W.A,W.P,25,60,W.acuminata,60,1,2.3496,25,13,0.093984,NA,NA,35,0.4166666667
79,Wa.5,Wa,mono.60,5,W.acuminata,W.A,W.P,45,60,W.acuminata,60,1,2.2684,45,20,0.050408889,0.45,0.01,15,0.75
80,Wa.M.1,Wa,mono.60,1,W.acuminata,W.A,W.P,29,60,W.acuminata,60,1,1.596,29,15,0.055034483,NA,NA,31,0.4833333333
81,Wa.C.1,Wa,control,1,W.acuminata,NA,NA,1,1,Control,1,NA,0.3852,1,1,0.3852,0.0184,0.0184,0,1
82,Wa.C.3,Wa,control,3,W.acuminata,NA,NA,1,1,Control,1,NA,1.1248,1,1,1.1248,0.2341,0.2341,0,1
83,Wa.H.4,Wa,mono.low,4,W.acuminata,NA,NA,6,12,W.acuminata,10,NA,1.3731,6,5,0.22885,NA,NA,6,0.5
84,Wa.L.2,Wa,mono.low,2,W.acuminata,NA,NA,10,10,W.acuminata,10,NA,1.2855,10,5,0.12855,NA,NA,0,1
85,Wa.L.4,Wa,mono.low,4,W.acuminata,NA,NA,10,10,W.acuminata,10,NA,1.3536,10,4,0.13536,NA,NA,0,1
86,Wa.M.3,Wa,mono.low,3,W.acuminata,NA,NA,10,10,W.acuminata,10,NA,1.1078,6,5,0.184633333,NA,NA,0,1
87,Wa.1,Wa,mono.med,1,W.acuminata,NA,NA,18,30,W.acuminata,30,NA,0.8281,18,9,0.046005556,0.1525,0.0084722222,12,0.6
88,Wa.2,Wa,mono.med,2,W.acuminata,NA,NA,24,30,W.acuminata,30,NA,2.2962,24,17,0.095675,NA,NA,6,0.8
89,Wa.H.1,Wa,mono.med,1,W.acuminata,NA,NA,17,30,W.acuminata,30,NA,1.3526,17,11,0.079564706,NA,NA,13,0.5666666667
90,Wa.M.2,Wa,mono.med,2,W.acuminata,NA,NA,25,30,W.acuminata,30,NA,1.0153,11,3,0.0923,NA,NA,5,0.8333333333
91,Wa.M.4,Wa,mono.med,4,W.acuminata,NA,NA,18,30,W.acuminata,30,NA,1.119,6,5,0.1865,NA,NA,12,0.6
92,Wa.H.2,Wa,mono.high,2,W.acuminata,NA,NA,32,50,W.acuminata,50,NA,1.986,32,13,0.0620625,NA,NA,18,0.64
93,Wa.L.1,Wa,mono.high,1,W.acuminata,NA,NA,20,50,W.acuminata,50,NA,1.0898,20,11,0.05449,NA,NA,30,0.4
94,Wa.L.5,Wa,mono.high,5,W.acuminata,NA,NA,34,50,W.acuminata,50,NA,1.3025,33,12,0.039469697,NA,NA,16,0.68
