Site,Species,Spp_Code,Replication,Survey_Date,Harvest_Date,Measurement_Date,mean_SLA,mean_leaf_area,leaf_count,tuft_width,leaf_N,total_seed_weight(mg),seed_count,seed_mass,root_mass(mg),root_mass(g),total_root_length(m),specific_root_length,notes,,
OAT,Leontodon taraxcoides,LEOTAR,2,22/10/2016,23/10/2016,29/11/2016,98.823,3989.080,26,,3.14,,,,5.588,0.005588,0.70488,126.142,,,
OAT,Leontodon taraxcoides,LEOTAR,3,22/10/2016,23/10/2016,29/11/2016,114.223,5049.164,5,,3.03,,,,2.28,0.00228,0.737633,323.523,,,
OAT,Lomandra nana,LOMNAN,1,5/10/2016,5/10/2016,14/10/2016,15.984,356.417,,43.83,2.14,3.102,5,0.620,,,,,,,
OAT,Lomandra nana,LOMNAN,2,5/10/2016,5/10/2016,14/10/2016,7.530,167.792,,53.63,2.54,,,,,,,,,,
OAT,Lomandra nana,LOMNAN,3,5/10/2016,5/10/2016,14/10/2016,12.853,282.807,,53.48,2.47,,,,,,,,,,
OAT,Oxalis perennans,OXAPER,1,5/10/2016,5/10/2016,14/10/2016,51.787,142.613,10,,3.29,,,,2.742,0.002742,0.211337,77.074,,,
OAT,Oxalis perennans,OXAPER,2,5/10/2016,5/10/2016,14/10/2016,39.263,81.410,52,,3.32,,,,1.678,0.001678,0.186064,110.884,,,
OAT,Oxalis perennans,OXAPER,3,5/10/2016,5/10/2016,14/10/2016,26.935,70.408,25,,3.05,,,,0.79,0.00079,0.012238,15.491,,,
OAT,Pimelea humilis,PIMHUM,1,5/10/2016,5/10/2016,14/10/2016,22.876,150.876,192,,2.11,24.434,20,1.222,1.586,0.001586,0.404649,255.138,,,
OAT,Pimelea humilis,PIMHUM,2,5/10/2016,5/10/2016,14/10/2016,26.025,65.061,810,,2.02,18.834,20,0.942,,,,,,,
OAT,Pimelea humilis,PIMHUM,3,9/11/2016,10/11/2016,29/11/2016,54.361,270.364,220,,1.64,31.532,20,1.577,,,,,,,
OAT,Plantago varia,PLAVAR,1,5/10/2016,5/10/2016,14/10/2016,14.595,568.251,14,,1.9,12.23,7,1.747,1.8,0.0018,0.050912,28.284,,,
OAT,Plantago varia,PLAVAR,2,5/10/2016,5/10/2016,14/10/2016,11.275,622.355,12,,1.86,11.78,7,1.683,4.934,0.004934,0.12873,26.090,,,
OAT,Plantago varia,PLAVAR,3,5/10/2016,5/10/2016,14/10/2016,13.463,969.542,10,,1.99,,,,5.552,0.005552,0.042864,7.720,,,
OAT,Poa bulbosa,POABUL,1,22/10/2016,23/10/2016,28/11/2016,94.495,199.638,,,1.41,,,,6.68,0.00668,1.027405,153.803,died off early in season - couldn’t get tuft width measurement,,
OAT,Poa bulbosa,POABUL,2,22/10/2016,23/10/2016,28/11/2016,78.938,223.601,,,2.19,,,,5.87,0.00587,1.249088,212.792,,,
OAT,Poa bulbosa,POABUL,3,22/10/2016,23/10/2016,28/11/2016,76.728,176.010,,,1.52,,,,3.622,0.003622,1.084506,299.422,,,
OAT,Poa labillardierei,POALAB,1,22/10/2016,23/10/2016,28/11/2016,30.981,279.285,,126.15,1.39,,,,0.576,0.000576,0.198914,345.337,,,
OAT,Poa labillardierei,POALAB,2,22/10/2016,23/10/2016,28/11/2016,34.973,244.803,,106.95,1.85,,,,0.706,0.000706,0.18688,264.703,,,
OAT,Poa labillardierei,POALAB,3,22/10/2016,23/10/2016,28/11/2016,29.110,383.340,,115.75,1.62,,,,1.014,0.001014,0.13206,130.237,,,
OAT,Ptilotus spathulatus,PTISPA,1,5/10/2016,5/10/2016,14/10/2016,20.025,342.556,188,,3.7,9.418,6,1.570,,,,,,,
OAT,Ptilotus spathulatus,PTISPA,2,5/10/2016,5/10/2016,14/10/2016,11.413,131.237,167,,2.87,10.698,7,1.528,,,,,,,
OAT,Ptilotus spathulatus,PTISPA,3,5/10/2016,5/10/2016,14/10/2016,12.864,107.994,130,,3.1,8.76,9,0.973,,,,,,,
OAT,Rytidosperma carphoides,RYTCAR,1,22/10/2016,23/10/2016,29/11/2016,39.103,276.200,,22.94,1.93,1.95,5,0.390,3.096,0.003096,0.352289,113.788,,,
OAT,Rytidosperma carphoides,RYTCAR,2,22/10/2016,23/10/2016,29/11/2016,29.238,158.254,,27.14,1.98,3.16,5,0.632,3.548,0.003548,0.506817,142.846,,,
OAT,Rytidosperma carphoides,RYTCAR,3,22/10/2016,23/10/2016,29/11/2016,34.354,189.766,,24.14,2.51,0.764,3,0.255,6.02,0.00602,0.341779,56.774,,,
OAT,Rytidosperma spp,RYTSPP,1,16/11/2016,17/11/2016,29/11/2016,36.881,346.897,,35,1.52,0.994,5,0.199,,,,,,,
OAT,Rytidosperma spp,RYTSPP,2,16/11/2016,17/11/2016,29/11/2016,27.152,165.842,,70,1.33,6.248,10,0.625,,,,,,,
OAT,Rytidosperma spp,RYTSPP,3,16/11/2016,17/11/2016,29/11/2016,21.851,473.183,,33,1.51,,,,,,,,,,
OAT,Schoenus absconditus,SCHABS,1,22/10/2016,23/10/2016,28/11/2016,65.884,216.299,,127.11,2.55,,,,3.296,0.003296,0.214793,65.168,,,
OAT,Schoenus absconditus,SCHABS,2,22/10/2016,23/10/2016,28/11/2016,58.565,108.997,,168.55,1.91,,,,3.36,0.00336,0.324185,96.484,,,
OAT,Schoenus absconditus,SCHABS,3,22/10/2016,23/10/2016,28/11/2016,63.376,80.598,,42,1.81,,,,1.086,0.001086,0.200497,184.620,,,
OAT,Scleranthus biflorus,SCLBIF,1,22/10/2016,23/10/2016,28/11/2016,39.479,11.576,,127.11,1.04,,,,0.272,0.000272,0.047526,174.728,,,
OAT,Scleranthus biflorus,SCLBIF,2,22/10/2016,23/10/2016,28/11/2016,31.405,10.700,,168.55,1.48,,,,3.052,0.003052,0.291961,95.662,,,
OAT,Scleranthus biflorus,SCLBIF,3,22/10/2016,23/10/2016,28/11/2016,32.965,11.995,,,1.36,,,,,,,,couldn't find third individual,,
OAT,Solenogyne dominii,SOLDOM,1,5/10/2016,5/10/2016,14/10/2016,23.112,539.738,16,,2.19,6.25,20,0.313,2.684,0.002684,0.194766,72.566,,,
OAT,Solenogyne dominii,SOLDOM,2,5/10/2016,5/10/2016,14/10/2016,11.514,263.621,22,,2.12,4.142,20,0.207,6.45,0.00645,0.327543,50.782,,,
OAT,Solenogyne dominii,SOLDOM,3,5/10/2016,5/10/2016,14/10/2016,19.384,488.082,19,,2.19,6.002,20,0.300,,,,,,,
OAT,Themeda trianda,THETRI,1,22/10/2016,23/10/2016,28/10/2016,73.507,742.205,,54.14,1.84,,,,2.238,0.002238,0.248918,111.223,,,
OAT,Themeda trianda,THETRI,2,22/10/2016,23/10/2016,28/10/2016,69.689,1510.324,,43.28,2.17,,,,1.96,0.00196,0.235593,120.201,,,
OAT,Themeda trianda,THETRI,3,22/10/2016,23/10/2016,28/10/2016,60.463,1342.644,,51.6,2.04,,,,2.202,0.002202,0.479186,217.614,,,
OAT,Trifolium subterraneum,TRISUB,1,5/10/2016,5/10/2016,14/10/2016,43.903,400.428,10,,3.07,42.888,5,8.578,5.472,0.005472,0.859737,157.116,,,
OAT,Trifolium subterraneum,TRISUB,2,5/10/2016,5/10/2016,14/10/2016,24.456,128.306,9,,2.62,39.496,5,7.899,5.142,0.005142,0.321971,62.616,,,
OAT,Trifolium subterraneum,TRISUB,3,5/10/2016,5/10/2016,14/10/2016,26.350,198.022,13,,3.82,24.832,5,4.966,4.568,0.004568,0.459676,100.630,,,
OAT,Vittadinia gracilis,VITGRA,1,5/10/2016,5/10/2016,14/10/2016,32.373,76.847,275,,2.6,12.04,20,0.602,1.48,0.00148,0.138537,93.606,,,
OAT,Vittadinia gracilis,VITGRA,2,5/10/2016,5/10/2016,14/10/2016,16.526,37.971,155,,3.35,11.07,20,0.554,1.786,0.001786,0.234243,131.155,,,
OAT,Vittadinia gracilis,VITGRA,3,5/10/2016,5/10/2016,14/10/2016,16.569,54.389,187,,2.29,14.126,20,0.706,4.95,0.00495,0.185381,37.451,,,
OAT,Wurmbia uniflora,WURUNI,1,5/10/2016,5/10/2016,14/10/2016,23.498,115.690,3,,1.58,2.806,5,0.561,,,,,,,
OAT,Wurmbia uniflora,WURUNI,2,5/10/2016,5/10/2016,28/11/2016,18.476,56.108,3,,2.8,,,,,,,,,,
OAT,Wurmbia uniflora,WURUNI,3,5/10/2016,5/10/2016,28/11/2016,14.928,52.775,3,,1.88,,,,,,,,,,
SP,Aira caryophylla,AIRCAR,1,26/01/2017,26/01/2017,31/01/2017,81.766,134.130,,20,2.25,0.086,5,0.017,0.83,0.00083,0.100838,121.492,,,
SP,Aira caryophylla,AIRCAR,2,26/01/2017,26/01/2017,31/01/2017,71.159,81.283,,10,2.19,0.09,12,0.008,1.138,0.001138,0.125151,109.975,,,
SP,Aira caryophylla,AIRCAR,3,26/01/2017,26/01/2017,31/01/2017,83.106,210.415,,8,2.45,0.202,17,0.012,1.946,0.001946,0.349577,179.639,,,
SP,Anthoxanthum odouratum,ANTODO,1,15/11/2016,17/11/2016,20/01/2017,108.990,186.939,,19,3.64,2.496,5,0.499,2.504,0.002504,0.477718,190.782,,,
SP,Anthoxanthum odouratum,ANTODO,2,15/11/2016,17/11/2016,20/01/2017,111.367,386.073,,8,3.13,5.604,10,0.560,5.368,0.005368,0.833668,155.303,,,
SP,Anthoxanthum odouratum,ANTODO,3,15/11/2016,17/11/2016,20/01/2017,106.302,303.047,,12,2.74,,,,2.27,0.00227,0.649,285.903,,,
SP,Asperula conferta,ASPCON,1,10/01/2017,11/01/2017,20/01/2017,36.833,11.976,265,,1.79,,,,,,,,,,
SP,Asperula conferta,ASPCON,2,10/01/2017,11/01/2017,20/01/2017,40.583,11.015,95,,2.03,,,,,,,,,,
SP,Asperula conferta,ASPCON,3,10/01/2017,11/01/2017,20/01/2017,52.031,10.796,160,,2.27,,,,,,,,,,
SP,Brachyscome cardiocarpa,BRACAR,1,24/01/2017,24/01/2017,31/01/2017,60.256,179.389,11,,2.14,,,,1.84,0.00184,0.090549,49.211,,,
SP,Brachyscome cardiocarpa,BRACAR,2,24/01/2017,24/01/2017,31/01/2017,67.991,175.134,6,,1.9,,,,2.21,0.00221,0.13649,61.760,,,
SP,Brachyscome cardiocarpa,BRACAR,3,24/01/2017,24/01/2017,31/01/2017,63.770,171.925,7,,2.34,,,,2.114,0.002114,0.151949,71.877,,,
SP,Brachyscome spathulata,BRASPA,1,15/11/2016,17/11/2016,20/01/2017,73.891,398.030,13,,2.1,,,,3.57,0.00357,0.326734,91.522,,,
SP,Brachyscome spathulata,BRASPA,2,15/11/2016,17/11/2016,20/01/2017,92.495,509.483,18,,2.18,,,,4.828,0.004828,0.069252,14.344,,,
SP,Brachyscome spathulata,BRASPA,3,15/11/2016,17/11/2016,20/01/2017,91.851,628.933,15,,2.19,,,,4.024,0.004024,0.190517,47.345,,,
SP,Brachyscome tenuiscarpa,BRATEN,1,10/01/2017,11/01/2017,20/01/2017,84.304,169.974,15,,2.32,,,,0.89,0.00089,0.152404,171.240,,,
SP,Brachyscome tenuiscarpa,BRATEN,2,10/01/2017,11/01/2017,20/01/2017,61.250,138.138,13,,1.68,,,,0.326,0.000326,0.105699,324.230,,,
SP,Brachyscome tenuiscarpa,BRATEN,3,10/01/2017,11/01/2017,20/01/2017,69.686,217.718,13,,2.06,,,,0.546,0.000546,0.20567,376.685,,,
SP,Carex gaudichaudiana,CARGAU,1,10/01/2017,11/01/2017,20/01/2017,63.144,283.512,9,,1.6,1.344,80,0.017,2.234,0.002234,0.396814,177.625,,,
SP,Carex gaudichaudiana,CARGAU,2,10/01/2017,11/01/2017,20/01/2017,59.278,293.146,7,,1.7,1.908,95,0.020,1.108,0.001108,0.354089,319.575,,,
SP,Carex gaudichaudiana,CARGAU,3,10/01/2017,11/01/2017,20/01/2017,62.606,291.309,7,,1.74,0.372,60,0.006,1.006,0.001006,0.250493,248.999,,,
SP,Cotula alpina,COTALP,1,15/11/2016,17/11/2016,20/01/2017,103.020,223.125,10,,1.92,,,,3.856,0.003856,0.105069,27.248,,,
SP,Cotula alpina,COTALP,2,15/11/2016,17/11/2016,20/01/2017,107.897,141.337,10,,1.93,,,,1.858,0.001858,0.148803,80.088,,,
SP,Cotula alpina,COTALP,3,15/11/2016,17/11/2016,20/01/2017,106.250,246.078,9,,1.75,,,,3.818,0.003818,0.100915,26.431,,,
SP,Epilobium tasmanicum,EPITAS,1,10/01/2017,11/01/2017,20/01/2017,110.907,82.474,15,,2.37,,,,0.678,0.000678,0.072066,106.292,,,
SP,Epilobium tasmanicum,EPITAS,2,10/01/2017,11/01/2017,20/01/2017,107.607,64.909,25,,2.17,,,,0.594,0.000594,0.084416,142.114,,,
SP,Epilobium tasmanicum,EPITAS,3,10/01/2017,11/01/2017,20/01/2017,116.139,118.717,21,,1.71,,,,1.07,0.00107,0.088599,82.803,,,
SP,Euchiton traversii,EUCTRA,1,15/11/2016,17/11/2016,20/01/2017,53.335,82.835,7,,1.19,,,,0.874,0.000874,0.091558,104.757,,,
SP,Euchiton traversii,EUCTRA,2,15/11/2016,17/11/2016,20/01/2017,77.400,115.480,12,,1.67,,,,1.394,0.001394,0.143497,102.939,,,
SP,Euchiton traversii,EUCTRA,3,15/11/2016,17/11/2016,20/01/2017,78.775,111.263,8,,1.66,,,,0.368,0.000368,0.036294,98.625,,,
SP,Geranium potentilliodes,GERPOT,1,15/11/2016,17/11/2016,20/01/2017,83.084,155.512,6,,3.01,,,,0.982,0.000982,0.243842,248.312,,,
SP,Geranium potentilliodes,GERPOT,2,15/11/2016,17/11/2016,20/01/2017,75.507,190.195,5,,2.61,,,,6.084,0.006084,0.126253,20.752,,,
SP,Geranium potentilliodes,GERPOT,3,15/11/2016,17/11/2016,20/01/2017,75.009,212.900,5,,3.01,,,,1.476,0.001476,0.061075,41.379,,,
SP,Gonocarpus micranthus,GONMIC,,15/11/2016,17/11/2016,20/01/2017,62.823,34.844,,,2.18,2.08,9,0.231,1.016,0.001016,0.11896,117.087,,,
SP,Gonocarpus micranthus,GONMIC,,15/11/2016,17/11/2016,20/01/2017,50.419,24.476,,,1.43,2.244,10,0.224,1.742,0.001742,0.390834,224.359,,,
SP,Gonocarpus micranthus,GONMIC,,15/11/2016,17/11/2016,20/01/2017,58.982,37.177,,,1.94,1.082,5,0.216,4.074,0.004074,0.217058,53.279,,,
SP,Holcus lanatus,HOLLAN,1,24/01/2017,24/01/2017,31/01/2017,84.932,380.294,,10,1.59,0.892,10,0.089,4.85,0.00485,0.943319,194.499,,,
SP,Holcus lanatus,HOLLAN,2,24/01/2017,24/01/2017,31/01/2017,87.826,577.686,,8,1.38,0.69,5,0.138,2.458,0.002458,0.557025,226.617,,,
SP,Holcus lanatus,HOLLAN,3,24/01/2017,24/01/2017,31/01/2017,115.188,326.153,,30,1.3,0.372,5,0.074,3.378,0.003378,1.363131,403.532,,,
SP,Hydrocotyle sibthorpioides,HYDSIB,1,10/01/2017,11/01/2017,20/01/2017,145.024,609.436,,,2.58,0.59,6,0.098,0.692,0.000692,0.158197,228.608,,,
SP,Hydrocotyle sibthorpioides,HYDSIB,2,10/01/2017,11/01/2017,20/01/2017,135.429,380.484,,,2.83,0.34,2,0.170,0.336,0.000336,0.137414,408.970,,,
SP,Hydrocotyle sibthorpioides,HYDSIB,3,10/01/2017,11/01/2017,20/01/2017,121.477,230.313,,,2.44,1.556,8,0.195,,,,,,,
SP,Hypericum,HYPERI,,10/01/2017,11/01/2017,20/01/2017,147.284,26.438,,,2.12,0.828,50,0.017,0.632,0.000632,0.140696,222.620,,,
SP,Hypericum,HYPERI,,10/01/2017,11/01/2017,20/01/2017,128.062,22.087,,,1.5,1.144,55,0.021,0.632,0.000632,0.06007,95.047,,,
SP,Hypericum,HYPERI,,10/01/2017,11/01/2017,20/01/2017,163.303,18.831,,,1.66,0.438,25,0.018,0.9,0.0009,0.086475,96.083,,,
SP,Hypoxis,HYPOXI,1,10/01/2017,11/01/2017,20/01/2017,57.373,249.001,4,,2.06,,,,1.354,0.001354,0.227171,167.778,,,
SP,Hypoxis,HYPOXI,2,10/01/2017,11/01/2017,20/01/2017,56.291,271.726,5,,1.94,,,,4.402,0.004402,0.777762,176.684,,,
SP,Hypoxis,HYPOXI,3,10/01/2017,11/01/2017,20/01/2017,58.065,380.304,6,,2.22,,,,4.722,0.004722,0.906108,191.891,,,
SP,Hypochaeris radicata,HYPRAD,1,10/01/2017,11/01/2017,20/01/2017,115.754,726.563,10,,2.54,1.444,8,0.181,1.282,0.001282,0.070967,55.356,,,
SP,Hypochaeris radicata,HYPRAD,2,10/01/2017,11/01/2017,20/01/2017,104.491,444.936,11,,2.18,0.556,3,0.185,0.47,0.00047,0.062827,133.674,,,
SP,Hypochaeris radicata,HYPRAD,3,10/01/2017,11/01/2017,20/01/2017,131.898,529.114,9,,2.47,1.318,10,0.132,0.662,0.000662,0.053402,80.668,,,
SP,Leptinella filicula,LEPFIL,1,15/11/2016,17/11/2016,20/01/2017,92.212,202.505,7,,2.52,0.922,3,0.307,5.396,0.005396,0.082619,15.311,,,
SP,Leptinella filicula,LEPFIL,2,15/11/2016,17/11/2016,20/01/2017,97.581,184.501,6,,2.55,2.56,7,0.366,6.21,0.00621,0.158971,25.599,,,
SP,Leptinella filicula,LEPFIL,3,15/11/2016,17/11/2016,20/01/2017,107.764,157.464,14,,1.96,1.294,6,0.216,8.4,0.0084,0.070745,8.422,,,
SP,Linum marginale,LINMAR,1,15/11/2016,17/11/2016,20/01/2017,67.428,40.223,195,,2.53,16.242,15,1.083,2.186,0.002186,0.10338,47.292,,,
SP,Linum marginale,LINMAR,2,15/11/2016,17/11/2016,20/01/2017,81.795,50.790,70,,2.34,23.162,20,1.158,1.594,0.001594,0.040938,25.683,,,
SP,Linum marginale,LINMAR,3,15/11/2016,17/11/2016,20/01/2017,81.911,34.140,100,,2.71,8.91,7,1.273,3.634,0.003634,0.076512,21.054,,,
SP,Microseris lanceolata ,MICLAN,1,10/01/2017,11/01/2017,20/01/2017,98.234,810.331,14,,2.64,3.572,3,1.191,,,,,,,
SP,Microseris lanceolata ,MICLAN,2,10/01/2017,11/01/2017,20/01/2017,95.224,838.892,10,,2.49,3.108,2,1.554,,,,,,,
SP,Microseris lanceolata ,MICLAN,3,10/01/2017,11/01/2017,20/01/2017,73.471,819.232,8,,2.38,13.166,9,1.463,,,,,,,
SP,Oreomyrrhis eriopoda,OREERI,1,15/11/2016,17/11/2016,20/01/2017,60.688,370.641,9,,3.47,34.354,34,1.010411765,0.346,0.000346,0.07064,204.162,,,
SP,Oreomyrrhis eriopoda,OREERI,2,15/11/2016,17/11/2016,20/01/2017,64.393,392.061,6,,3.32,17.16,15,1.144,0.876,0.000876,0.114731,130.971,,,
SP,Oreomyrrhis eriopoda,OREERI,3,15/11/2016,17/11/2016,20/01/2017,64.111,332.741,9,,2.85,17.258,20,0.8629,0.566,0.000566,0.114036,201.477,,,
SP,Pentapogan quadrifidus,PENQUA,1,10/01/2017,11/01/2017,20/01/2017,82.698,39.747,,15,2.84,2.182,5,0.436,2.7,0.0027,0.200061,74.097,,,
SP,Pentapogan quadrifidus,PENQUA,2,10/01/2017,11/01/2017,20/01/2017,53.318,229.837,,25,1.76,,,,1.9,0.0019,0.195343,102.812,,,
SP,Pentapogan quadrifidus,PENQUA,3,10/01/2017,11/01/2017,20/01/2017,108.347,152.228,,22,1.98,,,,1.066,0.001066,0.104097,97.652,,,
SP,Plantago glabrata,PLAGLA,1,15/11/2016,17/11/2016,20/01/2017,57.153,958.313,12,,2.11,,,,5.07,0.00507,0.19858,39.168,,,
SP,Plantago glabrata,PLAGLA,2,15/11/2016,17/11/2016,20/01/2017,61.341,337.853,13,,2.3,,,,1.022,0.001022,0.041783,40.884,,,
