Block,Transect,Pair,Plot.ID,Treatment,Species,Count,Exotic.count,Exotic,Date
11,N,2,11.N.2.L,Litter,T.isingiana,19,0,0,27-Aug-13
11,N,2,11.N.2.L,Litter,W.acuminata,1,0,0,27-Aug-13
11,N,3,11.N.3.C,Control,B.iberidifola,1,0,0,27-Aug-13
11,N,3,11.N.3.C,Control,B.tournefortii,3,3,1,27-Aug-13
11,N,3,11.N.3.C,Control,Bromus.sp,12,12,1,27-Aug-13
11,N,3,11.N.3.C,Control,C.eremea,1,0,0,27-Aug-13
11,N,3,11.N.3.C,Control,Millotia.sp,7,0,0,27-Aug-13
11,N,3,11.N.3.L,Litter,A.calendula,3,3,1,27-Aug-13
11,N,3,11.N.3.L,Litter,B.tournefortii,1,1,1,27-Aug-13
11,N,3,11.N.3.L,Litter,Bromus.sp,10,10,1,27-Aug-13
11,N,3,11.N.3.L,Litter,Millotia.sp,2,0,0,27-Aug-13
11,N,3,11.N.3.L,Litter,T.isingiana,1,0,0,27-Aug-13
11,N,4,11.N.4.C,Control,B.tournefortii,3,3,1,27-Aug-13
11,N,4,11.N.4.C,Control,Bromus.sp,9,9,1,27-Aug-13
11,N,4,11.N.4.C,Control,H.glabra,1,1,1,27-Aug-13
11,N,4,11.N.4.C,Control,Millotia.sp,72,0,0,27-Aug-13
11,N,4,11.N.4.C,Control,U.anthemoides,1,1,1,27-Aug-13
11,N,4,11.N.4.L,Litter,B.tournefortii,1,1,1,27-Aug-13
11,N,4,11.N.4.L,Litter,C.eremea,2,0,0,27-Aug-13
11,N,4,11.N.4.L,Litter,Millotia.sp,24,0,0,27-Aug-13
11,N,4,11.N.4.L,Litter,W.acuminata,1,0,0,27-Aug-13
11,N,5,11.N.5.C,Control,H.glabra,1,1,1,27-Aug-13
11,N,5,11.N.5.C,Control,Millotia.sp,27,0,0,27-Aug-13
11,N,5,11.N.5.C,Control,Perr.grass,4,0,0,27-Aug-13
11,N,5,11.N.5.C,Control,W.acuminata,1,0,0,27-Aug-13
11,N,5,11.N.5.L,Litter,B.tournefortii,1,1,1,27-Aug-13
11,N,5,11.N.5.L,Litter,C.eremea,6,0,0,27-Aug-13
11,N,5,11.N.5.L,Litter,L.arvensis,3,3,1,27-Aug-13
11,N,5,11.N.5.L,Litter,Millotia.sp,9,0,0,27-Aug-13
11,N,5,11.N.5.L,Litter,Perr.grass,3,0,0,27-Aug-13
11,N,5,11.N.5.L,Litter,U.anthemoides,1,1,1,27-Aug-13
11,S,1,11.S.1.C,Control,B.tournefortii,3,3,1,27-Aug-13
11,S,1,11.S.1.C,Control,Bromus.sp,5,5,1,27-Aug-13
11,S,1,11.S.1.C,Control,C.colorata,4,0,0,27-Aug-13
11,S,1,11.S.1.C,Control,C.eremea,1,0,0,27-Aug-13
11,S,1,11.S.1.C,Control,H.glabra,4,4,1,27-Aug-13
11,S,1,11.S.1.C,Control,P.airoides,10,10,1,27-Aug-13
11,S,1,11.S.1.C,Control,P.lessonni,5,0,0,27-Aug-13
11,S,1,11.S.1.C,Control,T.cyanopetala,3,0,0,27-Aug-13
11,S,1,11.S.1.C,Control,V.myuros,16,16,1,27-Aug-13
11,S,1,11.S.1.C,Control,W.acuminata,1,0,0,27-Aug-13
11,S,1,11.S.1.L,Litter,B.iberidifola,1,0,0,27-Aug-13
11,S,1,11.S.1.L,Litter,B.tournefortii,1,1,1,27-Aug-13
11,S,1,11.S.1.L,Litter,Bromus.sp,3,3,1,27-Aug-13
11,S,1,11.S.1.L,Litter,H.glabra,1,1,1,27-Aug-13
11,S,1,11.S.1.L,Litter,H.pilifera,1,0,0,27-Aug-13
11,S,1,11.S.1.L,Litter,P.airoides,10,10,1,27-Aug-13
11,S,1,11.S.1.L,Litter,P.lessonni,1,0,0,27-Aug-13
11,S,1,11.S.1.L,Litter,V.myuros,13,13,1,27-Aug-13
11,S,1,11.S.1.L,Litter,W.acuminata,2,0,0,27-Aug-13
11,S,2,11.S.2.C,Control,A.calendula,1,1,1,27-Aug-13
11,S,2,11.S.2.C,Control,A.tomentosum,1,0,0,27-Aug-13
11,S,2,11.S.2.C,Control,B.tournefortii,3,3,1,27-Aug-13
11,S,2,11.S.2.C,Control,Bromus.sp,5,5,1,27-Aug-13
11,S,2,11.S.2.C,Control,C.colorata,10,0,0,27-Aug-13
11,S,2,11.S.2.C,Control,C.eremea,2,0,0,27-Aug-13
11,S,2,11.S.2.C,Control,C.obionoides,1,0,0,27-Aug-13
11,S,2,11.S.2.C,Control,E.botrys,1,1,1,27-Aug-13
11,S,2,11.S.2.C,Control,Millotia.sp,2,0,0,27-Aug-13
11,S,2,11.S.2.C,Control,P.lessonni,1,0,0,27-Aug-13
11,S,2,11.S.2.C,Control,T.isingiana,2,0,0,27-Aug-13
11,S,2,11.S.2.C,Control,V.myuros,5,5,1,27-Aug-13
11,S,2,11.S.2.L,Litter,A.calendula,4,4,1,27-Aug-13
11,S,2,11.S.2.L,Litter,A.tomentosum,6,0,0,27-Aug-13
11,S,2,11.S.2.L,Litter,Bromus.sp,1,1,1,27-Aug-13
11,S,2,11.S.2.L,Litter,C.colorata,5,0,0,27-Aug-13
11,S,2,11.S.2.L,Litter,C.eremea,1,0,0,27-Aug-13
11,S,2,11.S.2.L,Litter,P.lessonni,9,0,0,27-Aug-13
11,S,2,11.S.2.L,Litter,Perr.grass,1,0,0,27-Aug-13
11,S,2,11.S.2.L,Litter,V.myuros,8,8,1,27-Aug-13
11,S,2,11.S.2.L,Litter,W.acuminata,2,0,0,27-Aug-13
11,S,3,11.S.3.C,Control,Bromus.sp,4,4,1,27-Aug-13
11,S,3,11.S.3.C,Control,C.colorata,17,0,0,27-Aug-13
11,S,3,11.S.3.C,Control,E.botrys,3,3,1,27-Aug-13
11,S,3,11.S.3.C,Control,Millotia.sp,2,0,0,27-Aug-13
11,S,3,11.S.3.C,Control,P.lessonni,2,0,0,27-Aug-13
11,S,3,11.S.3.C,Control,T.isingiana,2,0,0,27-Aug-13
11,S,3,11.S.3.C,Control,W.acuminata,4,0,0,27-Aug-13
11,S,3,11.S.3.L,Litter,B.tournefortii,5,5,1,27-Aug-13
11,S,3,11.S.3.L,Litter,E.botrys,2,2,1,27-Aug-13
11,S,3,11.S.3.L,Litter,Millotia.sp,1,0,0,27-Aug-13
11,S,3,11.S.3.L,Litter,P.airoides,8,8,1,27-Aug-13
11,S,3,11.S.3.L,Litter,P.lessonni,3,0,0,27-Aug-13
11,S,3,11.S.3.L,Litter,Thysanotus.sp,1,0,0,27-Aug-13
11,S,3,11.S.3.L,Litter,V.myuros,5,5,1,27-Aug-13
11,S,3,11.S.3.L,Litter,W.acuminata,3,0,0,27-Aug-13
11,S,4,11.S.4.C,Control,B.tournefortii,2,2,1,27-Aug-13
11,S,4,11.S.4.C,Control,Perr.grass,1,0,0,27-Aug-13
11,S,4,11.S.4.L,Litter,C.eremea,5,0,0,27-Aug-13
11,S,4,11.S.4.L,Litter,Dichopogon,2,0,0,27-Aug-13
11,S,4,11.S.4.L,Litter,Millotia.sp,16,0,0,27-Aug-13
11,S,5,11.S.5.C,Control,Perr.grass,1,0,0,27-Aug-13
11,S,5,11.S.5.L,Litter,B.tournefortii,1,1,1,27-Aug-13
11,S,5,11.S.5.L,Litter,C.eremea,1,0,0,27-Aug-13
11,S,5,11.S.5.L,Litter,Millotia.sp,2,0,0,27-Aug-13
11,S,5,11.S.5.L,Litter,Perr.grass,1,0,0,27-Aug-13
13,N,1,13.N.1.C,Control,A.calendula,1,1,1,27-Aug-13
13,N,1,13.N.1.C,Control,B.iberidifola,2,0,0,27-Aug-13
13,N,1,13.N.1.C,Control,Bromus.sp,3,3,1,27-Aug-13
13,N,1,13.N.1.C,Control,G.tenuissima,9,0,0,27-Aug-13
13,N,1,13.N.1.C,Control,Perr.grass,1,0,0,27-Aug-13
13,N,1,13.N.1.C,Control,R.pygmaea,1,0,0,27-Aug-13
13,N,1,13.N.1.C,Control,U.anthemoides,1,1,1,27-Aug-13
13,N,1,13.N.1.C,Control,W.acuminata,5,0,0,27-Aug-13
13,N,1,13.N.1.C,Control,Z.divaricata,12,12,1,27-Aug-13
13,N,1,13.N.1.L,Litter,A.calendula,4,4,1,27-Aug-13
13,N,1,13.N.1.L,Litter,A.tomentosum,6,0,0,27-Aug-13
13,N,1,13.N.1.L,Litter,B.iberidifola,1,0,0,27-Aug-13
13,N,1,13.N.1.L,Litter,G.tenuissima,3,0,0,27-Aug-13
13,N,1,13.N.1.L,Litter,P.airoides,10,10,1,27-Aug-13
13,N,1,13.N.1.L,Litter,R.laevis,2,0,0,27-Aug-13
13,N,1,13.N.1.L,Litter,R.pygmaea,3,0,0,27-Aug-13
13,N,1,13.N.1.L,Litter,W.acuminata,9,0,0,27-Aug-13
13,N,1,13.N.1.L,Litter,Z.divaricata,9,9,1,27-Aug-13
13,N,2,13.N.2.C,Control,A.calendula,1,1,1,27-Aug-13
13,N,2,13.N.2.C,Control,B.drummondii,8,0,0,27-Aug-13
13,N,2,13.N.2.C,Control,B.iberidifola,7,0,0,27-Aug-13
13,N,2,13.N.2.C,Control,C.colorata,9,0,0,27-Aug-13
13,N,2,13.N.2.C,Control,P.airoides,13,13,1,27-Aug-13
13,N,2,13.N.2.C,Control,Perr.grass,1,0,0,27-Aug-13
13,N,2,13.N.2.C,Control,V.myuros,13,13,1,27-Aug-13
13,N,2,13.N.2.C,Control,W.acuminata,17,0,0,27-Aug-13
13,N,2,13.N.2.L,Litter,A.calendula,4,4,1,27-Aug-13
13,N,2,13.N.2.L,Litter,A.tomentosum,2,0,0,27-Aug-13
13,N,2,13.N.2.L,Litter,B.drummondii,11,0,0,27-Aug-13
13,N,2,13.N.2.L,Litter,B.iberidifola,3,0,0,27-Aug-13
13,N,2,13.N.2.L,Litter,C.colorata,21,0,0,27-Aug-13
13,N,2,13.N.2.L,Litter,R.laevis,4,0,0,27-Aug-13
13,N,2,13.N.2.L,Litter,V.myuros,1,1,1,27-Aug-13
13,N,2,13.N.2.L,Litter,W.acuminata,5,0,0,27-Aug-13
13,N,3,13.N.3.C,Control,B.iberidifola,5,0,0,27-Aug-13
13,N,3,13.N.3.C,Control,Bromus.sp,10,10,1,27-Aug-13
13,N,3,13.N.3.C,Control,C.colorata,15,0,0,27-Aug-13
13,N,3,13.N.3.C,Control,H.glabra,3,3,1,27-Aug-13
13,N,3,13.N.3.C,Control,W.acuminata,4,0,0,27-Aug-13
13,N,3,13.N.3.L,Litter,A.calendula,7,7,1,27-Aug-13
13,N,3,13.N.3.L,Litter,A.tomentosum,1,0,0,27-Aug-13
13,N,3,13.N.3.L,Litter,B.iberidifola,2,0,0,27-Aug-13
13,N,3,13.N.3.L,Litter,Bromus.sp,6,6,1,27-Aug-13
13,N,3,13.N.3.L,Litter,C.colorata,30,0,0,27-Aug-13
13,N,3,13.N.3.L,Litter,R.laevis,1,0,0,27-Aug-13
13,N,3,13.N.3.L,Litter,W.acuminata,3,0,0,27-Aug-13
13,N,3,13.N.3.L,Litter,Z.divaricata,3,3,1,27-Aug-13
13,N,4,13.N.4.C,Control,Bromus.sp,20,20,1,27-Aug-13
13,N,4,13.N.4.C,Control,C.colorata,36,0,0,27-Aug-13
13,N,4,13.N.4.C,Control,C.eremea,1,0,0,27-Aug-13
13,N,4,13.N.4.C,Control,H.glabra,1,1,1,27-Aug-13
13,N,4,13.N.4.C,Control,R.laevis,22,0,0,27-Aug-13
13,N,4,13.N.4.C,Control,V.myuros,8,8,1,27-Aug-13
13,N,4,13.N.4.C,Control,W.acuminata,6,0,0,27-Aug-13
13,N,4,13.N.4.L,Litter,B.iberidifola,1,0,0,27-Aug-13
13,N,4,13.N.4.L,Litter,Bromus.sp,3,3,1,27-Aug-13
13,N,4,13.N.4.L,Litter,C.colorata,40,0,0,27-Aug-13
13,N,4,13.N.4.L,Litter,H.glabra,5,5,1,27-Aug-13
13,N,4,13.N.4.L,Litter,V.myuros,1,1,1,27-Aug-13
13,N,4,13.N.4.L,Litter,W.acuminata,4,0,0,27-Aug-13
13,N,5,13.N.5.C,Control,NA,NA,,NA,27-Aug-13
13,N,5,13.N.5.L,Litter,A.calendula,3,3,1,27-Aug-13
13,N,5,13.N.5.L,Litter,Bromus.sp,4,4,1,27-Aug-13
13,N,5,13.N.5.L,Litter,C.colorata,6,0,0,27-Aug-13
13,N,5,13.N.5.L,Litter,H.glabra,5,5,1,27-Aug-13
13,N,5,13.N.5.L,Litter,M.monstrosus,1,1,1,27-Aug-13
13,S,1,13.S.1.C,Control,A.tomentosum,9,0,0,27-Aug-13
13,S,1,13.S.1.C,Control,B.iberidifola,5,0,0,27-Aug-13
13,S,1,13.S.1.C,Control,Bromus.sp,2,2,1,27-Aug-13
13,S,1,13.S.1.C,Control,C.colorata,50,0,0,27-Aug-13
13,S,1,13.S.1.C,Control,Perr.grass,1,0,0,27-Aug-13
13,S,1,13.S.1.C,Control,R.laevis,7,0,0,27-Aug-13
13,S,1,13.S.1.C,Control,W.acuminata,5,0,0,27-Aug-13
13,S,1,13.S.1.L,Litter,A.tomentosum,3,0,0,27-Aug-13
13,S,1,13.S.1.L,Litter,B.iberidifola,7,0,0,27-Aug-13
13,S,1,13.S.1.L,Litter,Bromus.sp,5,5,1,27-Aug-13
13,S,1,13.S.1.L,Litter,C.colorata,50,0,0,27-Aug-13
13,S,1,13.S.1.L,Litter,H.glabra,1,1,1,27-Aug-13
13,S,1,13.S.1.L,Litter,Perr.grass,3,0,0,27-Aug-13
13,S,1,13.S.1.L,Litter,R.laevis,11,0,0,27-Aug-13
13,S,1,13.S.1.L,Litter,R.pygmaea,3,0,0,27-Aug-13
13,S,1,13.S.1.L,Litter,V.myuros,11,11,1,27-Aug-13
13,S,1,13.S.1.L,Litter,W.acuminata,5,0,0,27-Aug-13
13,S,2,13.S.2.C,Control,Bromus.sp,5,5,1,27-Aug-13
13,S,2,13.S.2.C,Control,C.colorata,22,0,0,27-Aug-13
13,S,2,13.S.2.C,Control,M.monstrosus,1,1,1,27-Aug-13
13,S,2,13.S.2.C,Control,P.airoides,6,6,1,27-Aug-13
13,S,2,13.S.2.C,Control,R.pygmaea,19,0,0,27-Aug-13
13,S,2,13.S.2.C,Control,W.acuminata,6,0,0,27-Aug-13
13,S,2,13.S.2.L,Litter,A.tomentosum,4,0,0,27-Aug-13
13,S,2,13.S.2.L,Litter,B.iberidifola,1,0,0,27-Aug-13
13,S,2,13.S.2.L,Litter,C.colorata,40,0,0,27-Aug-13
13,S,2,13.S.2.L,Litter,Perr.grass,1,0,0,27-Aug-13
13,S,2,13.S.2.L,Litter,R.laevis,4,0,0,27-Aug-13
13,S,2,13.S.2.L,Litter,W.acuminata,13,0,0,27-Aug-13
13,S,3,13.S.3.C,Control,B.iberidifola,1,0,0,27-Aug-13
13,S,3,13.S.3.C,Control,Bromus.sp,7,7,1,27-Aug-13
13,S,3,13.S.3.C,Control,C.colorata,20,0,0,27-Aug-13
13,S,3,13.S.3.C,Control,P.airoides,20,20,1,27-Aug-13
13,S,3,13.S.3.C,Control,R.laevis,6,0,0,27-Aug-13
13,S,3,13.S.3.C,Control,R.pygmaea,3,0,0,27-Aug-13
13,S,3,13.S.3.C,Control,W.acuminata,14,0,0,27-Aug-13
13,S,3,13.S.3.L,Litter,A.tomentosum,2,0,0,27-Aug-13
13,S,3,13.S.3.L,Litter,B.iberidifola,4,0,0,27-Aug-13
13,S,3,13.S.3.L,Litter,Bromus.sp,4,4,1,27-Aug-13
