Site,Tree.species,Tree.ID,GPS.ID,NS,Side,Pair,Plot.ID,LC,Treatment,RL,Dist.to.tree,A.barbata,A.calendula,A.elegantissima,A.tomentosum,Allocasuarina,B.diandrus,B.drummondii,B.iberidifolia,B.maxima,B.tournefortii,Bare,Borya,Crust,Curly.perennial.thingy,Litter,Dryandra,Euc.litter,G.tenuissima,H.glabra,Jam.litter,L.rosea,Lily,Moss,P.airoides,P.canescens,P.gnaphaloides,P.latifolia,P.lessonii,P.sulcatum,Perr.clump,Pt.honey,Pt.small,R.polyphylla,Millotia.sp,R.pygmaea,Unk.yellow.forb,Dampiera,T.cyanopetala,T.pilosa,Thread.iris,U.anthemoides,V.myuros,W. acuminata,W.acuminata.sauveolens,Wallaby.grass,Z.divaricata
Kunjin,E.loxophleba,15,NA,N,North,4,15.N.4.C,C,Control,,,,,4,,,,,,,,0.9,,,,,,0.03,,,,,,,,,,,,,,,,,,,,10,,,,1,,2,,,
Kunjin,E.loxophleba,15,NA,N,North,3,15.N.3.C,C,Control,,,,,5,,,,,,,,0.4,,,,,,0.04,,,,,,,,,,,,,,,,1,,,,3,,,,,,6,,,
Kunjin,E.loxophleba,15,NA,N,North,2,15.N.2.C,C,Control,,,,,9,,,,,,,,0.9,,,,,,0.02,,,,,,,,,,,,,,,,2,,,,1,,,,1,,9,,,
Kunjin,E.loxophleba,15,NA,N,North,1,15.N.1.C,C,Control,,,,,4,,,,,,,,0.4,,,,,,0.15,,,,,,,4,,,,,,,,,,,,,4,,,,2,,14,,,
Kunjin,A.acuminata,16,NA,N,North,5,16.N.5.C,C,Control,,,,,2,,,,,,,,0.2,,,,,,0.01,,3,0.75,,,,,,,,,,,,,,,,,,,,,,,4,,,
Kunjin,A.acuminata,16,NA,N,North,4,16.N.4.C,C,Control,,,,,5,,,,,,,,0.9,,,,,,0.01,,,0.1,,,,3,,,,,,,,,,,,,,,,,,,6,,,
Kunjin,A.acuminata,16,NA,N,North,3,16.N.3.C,C,Control,,,,,8,,,,,,,,0.33,,,,,,0.02,,,0.04,,,,5,,,,,,,,,,,,,,,,,,,8,,,
Kunjin,A.acuminata,16,NA,N,North,2,16.N.2.C,C,Control,,,,,4,,,,,,,,0.05,,,,,,0.02,,,0.02,,,,3,,,,,,,,,,,,,,,,,,20,2,,,
Kunjin,A.acuminata,16,NA,N,North,1,16.N.1.C,C,Control,,,,,,,,,,,,,10,,,,,,0.02,,,0.02,,,,40,,,,,,,,,,,,,,,,,,70,1,,,
Kunjin,A.acuminata,9,555,S,South,1,9.S.1.C,C,Control,L,,,,2,,,,,15,,,0.9,,0.03,,0.01,,0.02,22,,0.03,,,,0.1,,,,,,,,,,,,,4,1,,,,,18,,,
Kunjin,A.acuminata,9,555,S,South,2,9.S.2.C,C,Control,R,,,,,,,,,6,,,0.7,,0.02,,0.03,,0.03,4,,0.04,,,,0.1,,,,,,,,,,,,,3,1,,,1,17,26,,8,
Kunjin,A.acuminata,9,555,S,South,3,9.S.3.C,C,Control,L,,,,,,,,,7,,,0.02,,,,0.06,,0.02,2,,0.1,,,0.5,0.3,,,2,,,,,,,,,,2,,,,2,30,50,,10,
Kunjin,A.acuminata,9,555,S,South,4,9.S.4.C,C,Control,R,,,,,,,,,,5,,,,,0.01,0.04,,0.01,,,0.3,,,0.2,0.01,,7,,,,,,,,,,,,,,,,100,16,,,
Kunjin,E.loxophleba,10,573,S,South,1,10.S.1.C,C,Control,R,,,,6,,,,,,,,0.66,,,,0.1,,0.1,,,,,,,0.05,,,,,,,,,,,,,,,,,9,20,30,,,
Kunjin,E.loxophleba,10,573,S,South,2,10.S.2.C,C,Control,L,,,,7,,,,,,,,0.85,,,,0.01,,0.03,,,,,,,,,,,3,,,,,,,,,,,,,14,7,28,,,
Kunjin,E.loxophleba,10,573,S,South,3,10.S.3.C,C,Control,R,,1,,9,,,,,,1,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,14,8,32,,,
Kunjin,E.loxophleba,10,573,S,South,4,10.S.4.C,C,Control,R,,,,,,,,,,,,0,,,,0.1,,0.9,,,,,,0.35,0.01,,,,,,,,,,4,,,,,,10,8,,7,,,
Kunjin,E.loxophleba,10,573,S,South,5,10.S.5.C,C,Control,R,,,,5,,,,,,,,,,,,0.1,,0.9,,,,,,0.3,,,,,,,,,,,28,,,,,,14,7,,4,,,
Kunjin,E.loxophleba,11,556,S,South,1,11.S.1.C,C,Control,L,,,,,,,,,,,,0.4,,,,0.08,,0.03,,3,0.15,,,,0.1,,,,19,,,,,,1,,,,,,,,5,20,,,
Kunjin,E.loxophleba,11,556,S,South,2,11.S.2.C,C,Control,R,,,,,,,,,,,2,0.8,,,,0.1,,0.05,,3,0.02,,,,0.01,,,,20,,,,,,1,,,,,,,,20,30,,,
Kunjin,E.loxophleba,11,556,S,South,3,11.S.3.C,C,Control,L,,,,,,,1,,,,,0.15,,0.1,,0.05,,0.1,1,3,0.02,,,,,,1,,23,,,,,,,,,,,,,,15,17,,,
Kunjin,E.loxophleba,11,556,S,South,4,11.S.4.C,C,Control,R,,,,2,,,,,,,2,,,,,0.2,,0.1,,,,,,0.8,,,,,,,,,,,46,,,,,,,1,,,,,
Kunjin,E.loxophleba,11,556,S,South,5,11.S.5.C,C,Control,L,,,,5,,,,,,,,0.02,,,,0.3,,0.5,,,,,,0.15,,,,,,7,,,,,20,,,,,,,,,7,,4,
Kunjin,A.acuminata,13,562,S,South,1,13.S.1.C,C,Control,L,,,,3,,,,,10,,,0.85,,,,0.02,,,5,,0.03,,,,0.2,,,,1,,,,,,,,,,,,,,7,24,,,
Kunjin,A.acuminata,13,562,S,South,2,13.S.2.C,C,Control,R,,,,,,,,1,6,,,0.8,,0.03,,0.02,,,,4,0.05,,,,0.05,,,,,,,,,,1,,,,,,,2,25,33,,,
Kunjin,A.acuminata,13,562,S,South,3,13.S.3.C,C,Control,L,,,,2,,,,,4,,,0.8,,0.05,,0.03,,,9,,0.04,,,0.07,0.01,,,,,,,,,,3,,,,,,,,50,25,,,
Kunjin,A.acuminata,13,562,S,South,4,13.S.4.C,C,Control,R,,,,6,,,,,,,,0.8,,0.07,,0.04,,,,2,0.03,,,0.05,0.01,1,,,,,,,,,3,,,,,,,,4,18,,,
Kunjin,A.acuminata,13,562,S,South,5,13.S.5.C,C,Control,L,,,,2,,,,,,,,0.02,,,,0.1,,,3,3,0.5,,,0.1,0.01,,,,,,1,,,,16,,,,,,,,8,3,,,
Kunjin,Allocasuarina,12,572,S,South,1,12.S.1.C,C,Control,R,,,,,,0.03,,,13,,,0.8,,,,0.1,,,2,,0.03,,,,0.05,,,,,,,,,,,,,,,,,11,25,40,,,
Kunjin,Allocasuarina,12,572,S,South,2,12.S.2.C,C,Control,L,,,,,,0.07,,,18,,,0.05,,,0.05,0.2,,,3,,0.03,,,,0.02,,,,,,,,,,,,,,,,,17,32,40,,,
Kunjin,Allocasuarina,12,572,S,South,3,12.S.3.C,C,Control,R,,,,2,,0.1,,,,,,0.2,,,,0.17,,,,,0.06,,,,,,,,,,,,,,,,,,,6,,30,3,35,,,
Kunjin,Allocasuarina,12,572,S,South,4,12.S.4.C,C,Control,L,,,,2,,0.65,,,12,,,0.2,,,,0.15,,,,,0.03,,,,0.01,,,,,,,,,,,,,,4,,,30,10,33,,,
Kunjin,Allocasuarina,12,572,S,South,5,12.S.5.C,C,Control,R,,,,,,0.75,,,,,,,,,0.03,0.3,,,,,0.03,,,,,,,,,,,,,,,,,,,,,50,,26,,,
Kunjin,E.loxophleba,14,NA,S,South,1,14.S.1.C,C,Control,,,,,3,,,,,30,,,0.4,,0.02,,,,,,,,,,,20,,,,,,,,,,,,,2,,,,,,4,,,
Kunjin,E.loxophleba,14,NA,S,South,2,14.S.2.C,C,Control,,,,,3,,,,,30,,,0.7,,0.04,,,,0.03,,,,,,,10,,,,,,,,,,,,,2,,,,,,9,,,
Kunjin,E.loxophleba,14,NA,S,South,3,14.S.3.C,C,Control,,,,,2,,,,,,,,0.05,,,,,,0.2,,1,,,,,40,,,,,,,,,,,,,10,,,,,15,13,,,
Kunjin,E.loxophleba,14,NA,S,South,4,14.S.4.C,C,Control,,,,,20,,,,,,,,0.05,,,,,,0.01,,,,,,,,,,,,,,,,6,,,,,,,,5,10,17,,,
Kunjin,E.loxophleba,14,NA,S,South,5,14.S.5.C,C,Control,,,,,7,,,,,,1,,0.05,,,,,,0.4,,,,,,0.25,2,,,,,10,,,,1,,,,,2,,,,,20,,,
Kunjin,E.loxophleba,15,NA,S,South,1,15.S.1.C,C,Control,,,,,2,,,,,,,,0.2,,,,,,0.05,,,0.01,,,0.1,,,,,,,,,,,,,,,,,,,,30,,1,
Kunjin,E.loxophleba,15,NA,S,South,2,15.S.2.C,C,Control,,,,,7,,,,,,,,0.04,,,,,,0.25,,,0.02,,,,,,,,,,,,,2,,,,,,,,,,10,,,
Kunjin,E.loxophleba,15,NA,S,South,3,15.S.3.C,C,Control,,,,,7,,,,,,,,0.45,,,,,,40,,,0.01,,,0.03,,,,,,,,,,,,,,1,,,,,,18,,,
Kunjin,E.loxophleba,15,NA,S,South,4,15.S.4.C,C,Control,,,,,5,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,3,,,,1,,10,,,
Kunjin,E.loxophleba,15,NA,S,South,5,15.S.5.C,C,Control,,,,,6,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,4,,6,
Kunjin,A.acuminata,16,NA,S,South,1,16.S.1.C,C,Control,,,,,12,,,,,,,,0.12,,,,,,0.04,,,0.02,,,,,3,,,,,,,,,,,,,,,,,15,17,,,
Kunjin,A.acuminata,16,NA,S,South,2,16.S.2.C,C,Control,,,,,4,,,,,,,,0.05,,,,,,0.08,,,0.1,,,,80,,,,,,,,,,,,,,,,,,7,10,,,
Kunjin,A.acuminata,16,NA,S,South,3,16.S.3.C,C,Control,,,,,6,,,,,,,,20,,,,,,0.04,,,0.15,,,,20,,,,,,,,,,,,,,,,,3,20,12,,,
Kunjin,A.acuminata,16,NA,S,South,4,16.S.4.C,C,Control,,,,,9,,,,,,,,0.02,,,,,,0.13,,,0.8,,,,,6,,,,,,,,,,,,,,,,,25,24,,,
Kunjin,A.acuminata,16,NA,S,South,5,16.S.5.C,C,Control,,,,,15,,,,,,,,,,,,,,0.03,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,
Kunjin,A.acuminata,9,555,N,North,5,9.N.5.L,L,Litter,L,,,,,,,,,,,,0.02,,,0.15,0.08,,,,,0.04,,,0.35,,,10,,,,,,,,,,,8,,,,5,,25,,,
Kunjin,A.acuminata,9,555,N,North,4,9.N.4.L,L,Litter,R,,,,,,,,,,,,0.02,,,,0.05,,0.01,10,,0.02,,,0.2,0.05,,,,,,,,,,,,,5,,,,2,,35,,,
Kunjin,A.acuminata,9,555,N,North,3,9.N.3.L,L,Litter,L,,,,9,,,,,17,,,0.8,,,,0.01,,,37,1,0.02,,,0.1,0.2,1,,,,,,,,,,,,4,1,,,,,25,,1,
Kunjin,A.acuminata,9,555,N,North,2,9.N.2.L,L,Litter,R,,,,4,,,,,,,,,,0.15,,0.02,,0.01,5,,0.06,,,,0.05,,,,,,,,,,,,,2,,,,2,,30,,,
Kunjin,A.acuminata,9,555,N,North,1,9.N.1.L,L,Litter,L,,,,,,,,,,,,,,,0.05,0.1,,0.01,,,0.02,,,,,,,,,,,,,,,,,2,,,,2,100,30,,,
Kunjin,E.loxophleba,10,573,N,North,5,10.N.5.L,L,Litter,R,,,,2,,,,,,,,0.03,,,,0.15,,0.85,,,,,,,,,,,,,,,,,1,,4,,,,,6,,1,,,
Kunjin,E.loxophleba,10,573,N,North,4,10.N.4.L,L,Litter,L,,,,2,,,,,,,,0.9,,,,0.02,,0.07,,,,,,,,3,,,,,,,,,18,,,,,,,3,,6,,,
Kunjin,E.loxophleba,10,573,N,North,3,10.N.3.L,L,Litter,R,,,,7,,,40,,,,1,,,,,0.02,,0.4,,,,,,,0.05,1,1,,,,,,,2,,,,,,,,,3,8,,,
Kunjin,E.loxophleba,10,573,N,North,2,10.N.2.L,L,Litter,L,,,,7,,,7,,,,,0.5,,,,0.25,,0.1,,,,,,,0.01,,,,,,,,,,7,,,,,,,,10,20,1,,
Kunjin,E.loxophleba,10,573,N,North,1,10.N.1.L,L,Litter,R,,,,8,,,6,,,,,0,,,,0.02,,0.5,,2,,,,,,,2,,6,,,,,,8,,,,,,,,40,16,1,,
Kunjin,E.loxophleba,11,556,N,North,5,11.N.5.L,L,Litter,R,,,,5,,,,,,,,0.2,,,,0.25,,0.3,,2,,,,,,,1,,,3,,,,,28,,,,,,,,,4,,,
Kunjin,E.loxophleba,11,556,N,North,4,11.N.4.L,L,Litter,L,,,,,,,,,,,,0.2,,,,0.25,,0.3,,,0.05,,,,,,,,,,,,,,13,,1,,,,,,,4,,,
Kunjin,E.loxophleba,11,556,N,North,3,11.N.3.L,L,Litter,R,,,,,,,12,,1,,,0.03,,,,0.1,,0.2,,,,,,,0.3,,1,,,,,1,,,6,,,,,,,,9,12,,,
Kunjin,E.loxophleba,11,556,N,North,2,11.N.2.L,L,Litter,L,,,,,,,29,,,,,,,,,0.15,,0.1,,7,,,,,0.1,,1,,,,,2,,,2,,,,,,,2,4,9,,,
Kunjin,E.loxophleba,11,556,N,North,1,11.N.1.L,L,Litter,R,,,,2,,,30,,,,,0.15,,,,0.08,,0.15,,2,,,,,0.05,,3,,,,,1,,,1,,,,,,,5,10,7,,,
Kunjin,A.acuminata,13,562,N,North,5,13.N.5.L,L,Litter,L,,,1,1,,,,1,,,,0.1,,,,0.15,,,4,9,0.35,,,,0.1,,,,,,,,,,,,,,1,,,,11,10,,,
Kunjin,A.acuminata,13,562,N,North,4,13.N.4.L,L,Litter,R,,,,2,,,,,6,,,0.05,,,,0.1,,,10,4,0.8,,,,0.2,,,,,,,,,,6,,,,,,,,12,14,,,
Kunjin,A.acuminata,13,562,N,North,3,13.N.3.L,L,Litter,L,,,,3,,,,,5,,,0.25,,,,0.15,,,,5,0.3,,,,0.3,,,,,,,,,,3,,,,,,,1,10,17,,,
Kunjin,A.acuminata,13,562,N,North,2,13.N.2.L,L,Litter,R,,,,2,,,,9,30,,,0.5,,0.15,,0.05,,,5,1,0.07,,,,0.15,,,,,,,,,,,,,,,,,2,30,33,,,
Kunjin,A.acuminata,13,562,N,North,1,13.N.1.L,L,Litter,L,,,,5,,,,,12,,,0.5,,0.05,,0.01,,,30,,0.05,,,,0.02,,,,,,,,,,5,,,,,,,1,,11,,,1
Kunjin,Allocasuarina,12,572,N,North,1,12.N.1.L,L,Litter,R,,,,,,0.9,,,,,,,0.01,,0.1,0.06,1,,,,0.02,,,,,,,,,,,,,,,,,,,,,8,19,35,,1,
Kunjin,Allocasuarina,12,572,N,North,2,12.N.2.L,L,Litter,L,,,,,,0.85,,,3,,,0.05,,,,0.05,,,,,0.02,,,,0.01,,,,,,,,,2,,,,,,,,2,,50,,,
Kunjin,Allocasuarina,12,572,N,North,3,12.N.3.L,L,Litter,R,,,,,,0.25,,,10,,,0.7,0.05,,0.05,0.02,,,4,,0.01,,,,,8,,,,,,,,,,,,,,,,6,5,30,,,
Kunjin,E.loxophleba,14,NA,N,North,5,14.N.5.L,L,Litter,,,,,6,,,,,,,,,,,,,,0.5,,,,,,,,,,,,10,,,,10,,,,,,,,3,,7,,,
Kunjin,E.loxophleba,14,NA,N,North,4,14.N.4.L,L,Litter,,,,,4,,,,,,,,,,,,,,0.5,,,,,,0.05,,,,,,,,,,1,,,,,,,,,,,,,
Kunjin,E.loxophleba,14,NA,N,North,3,14.N.3.L,L,Litter,,,,,,,,,,,,,0.08,,,,,,0.05,,,,,,,,,,,,,,,,20,,,,,,,,,,25,,,
Kunjin,E.loxophleba,14,NA,N,North,2,14.N.2.L,L,Litter,,,,,,,,,,,,,0.7,,,,,,20,,,,,,0.03,4,,,,,,,,,4,,,,,,,,,,20,,,
Kunjin,E.loxophleba,14,NA,N,North,1,14.N.1.L,L,Litter,,,,,,,,,,,,,,,,,,,0.1,,,,,,,2,,,,,,,,,32,,,,,,,,16,10,16,,,
Kunjin,E.loxophleba,15,NA,N,North,5,15.N.5.L,L,Litter,,,,,8,,,,,,,,0.2,,,,,,0.3,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
Kunjin,E.loxophleba,15,NA,N,North,4,15.N.4.L,L,Litter,,,,,5,,,,,,,,0.8,0.01,,,,,0.35,,,,,,0.03,,,,,,,,,,,,,,3,,,,,,,,,
Kunjin,E.loxophleba,15,NA,N,North,3,15.N.3.L,L,Litter,,,,,,,,,,,,,0.5,0.02,,,,,0.03,,,,,,,,,,,,,,,,4,,,,6,,,,3,,26,,,
Kunjin,E.loxophleba,15,NA,N,North,2,15.N.2.L,L,Litter,,,,,10,,,,,,,,0.95,,,,,,0.02,,,,,,,,,,,,,,,,,,,,5,,,,,,4,,,
Kunjin,E.loxophleba,15,NA,N,North,1,15.N.1.L,L,Litter,,,,,1,,,,,,,,0.3,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,7,,25,,,
Kunjin,A.acuminata,16,NA,N,North,5,16.N.5.L,L,Litter,,,,,3,,,,,,,3,,,,,,,0.02,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,
Kunjin,A.acuminata,16,NA,N,North,4,16.N.4.L,L,Litter,,,,,7,,,,,,,,0.75,,,,,,0.02,,3,0.1,,,,7,,,,,,,,,,,,,,,,,,,,,,
Kunjin,A.acuminata,16,NA,N,North,3,16.N.3.L,L,Litter,,,,,8,,,,,,,,0.4,,,,,,0.03,,,0.02,,,,12,,,,,,,,,,,,,,,,,,2,1,,,
Kunjin,A.acuminata,16,NA,N,North,2,16.N.2.L,L,Litter,,,,,10,,,,,,,,0.05,,,,,,0.03,,,0.03,,,,5,,,,,,,,,,,,,,,,,,30,4,,,
Kunjin,A.acuminata,16,NA,N,North,1,16.N.1.L,L,Litter,,,,,,,,,,,,,0.2,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,60,1,,,
Kunjin,A.acuminata,9,555,S,South,1,9.S.1.L,L,Litter,R,,,,3,,,,,15,,,0.95,,0.01,,0.01,,0.01,17,,0.02,,,,0.1,,,1,,,,,,,,,,4,,,,2,,19,,,
Kunjin,A.acuminata,9,555,S,South,2,9.S.2.L,L,Litter,L,,,,1,,,,,8,,,0.8,,0.02,,0.02,,0.02,30,2,0.03,,,,0.1,,,,,,,,,,,,,10,,,,1,,26,,,
Kunjin,A.acuminata,9,555,S,South,3,9.S.3.L,L,Litter,R,,,,,,,,,10,,,0.03,,,,0.03,,0.03,9,,0.1,,,0.45,0.3,,,9,,,,,,,,,,7,,,,1,,36,1,5,
Kunjin,A.acuminata,9,555,S,South,4,9.S.4.L,L,Litter,L,,,,,,,,,,3,,0,,,,0.02,,0.02,,,0.25,,,0.3,,,,,,,,,,,,,,,,,,3,100,12,,3,
Kunjin,E.loxophleba,10,573,S,South,1,10.S.1.L,L,Litter,L,,,,7,,,,,,,,0.8,,,,0.05,,0.1,,,,,,,0.1,,,,4,,,,,,,,,,,,,8,2,17,,,
Kunjin,E.loxophleba,10,573,S,South,2,10.S.2.L,L,Litter,R,,1,,9,,,,,,,,0.8,,0.1,,0.03,,0.08,,,,,,0.1,,,,,,,,,,,,,,,,,,9,30,25,,,
Kunjin,E.loxophleba,10,573,S,South,3,10.S.3.L,L,Litter,L,,,,12,,,,,,,,0.1,,,,0.05,,0.3,,,,,,0.3,0.04,,,,6,,,,,,,,,,,,,10,6,40,,8,
Kunjin,E.loxophleba,10,573,S,South,4,10.S.4.L,L,Litter,L,,,,4,,,,,,,,,,,,0.2,,0.7,,,,,,0.45,,,,,,1,,,,,6,,,,,,20,4,,2,,,
Kunjin,E.loxophleba,10,573,S,South,5,10.S.5.L,L,Litter,L,,,,4,,,,,,,2,0,,,,0.05,,0.9,,,,,,0.4,,,,,,2,,,,,8,,,,,,12,15,,3,,4,
Kunjin,E.loxophleba,11,556,S,South,1,11.S.1.L,L,Litter,R,,,,,,,,,16,,,0.6,,,,0.06,,0.05,,3,0.16,,,,0.08,,,,20,,,,1,,,,,,,,,,30,25,,,
Kunjin,E.loxophleba,11,556,S,South,2,11.S.2.L,L,Litter,L,,,,,,,1,,,,1,0.85,,,,0.1,,0.03,,4,0.03,,,,0.01,,,,21,,,,,1,,,,,,,,,9,15,,,
Kunjin,E.loxophleba,11,556,S,South,3,11.S.3.L,L,Litter,R,,,,3,,,3,,,,2,0.5,,0.2,,0.1,,0.05,,6,0.05,,,,,,,,13,,,,,,1,4,,,,,,,22,40,,,
Kunjin,E.loxophleba,11,556,S,South,4,11.S.4.L,L,Litter,L,,,,2,,,,,,,,,,,,0.1,,0.1,,,,,,0.7,,,,,1,,,,,,40,,,,,,,1,,2,,,
Kunjin,E.loxophleba,11,556,S,South,5,11.S.5.L,L,Litter,R,,,,3,,,,,,,,0.05,,,,0.2,,0.4,,,,,,0.2,,,,,,,,,,,35,,,,,,,,,,,,
