Block,Transect,Pair,Plot.ID,Treatment,Species,Count,Exotic.count,Exotic,Date,Growth.form,Plant.rep,Plant.biomass,Total.biomass.g,Mean.biomass.perindivid.g,Dist.to.tree,Mean.SM,Meancanopy.NWE,t1.phosphorus,t2.phosphorus,t1.nitrate,t2.nitrate,t1.ph.h2o,t2.ph.h2o
13,N,2,13.N.2.L,Litter,B.iberidifolia,7,0,0,NA,Annual.forb,NA,NA,NA,NA,5.4,5,0.16,2,2,3,2,6.1,5.6
13,N,3,13.N.3.C,Control,B.iberidifolia,3,0,0,6-Oct-13,Annual.forb,1,0.5756,1.2227,0.407566667,3.9,4.333333333,0.853333333,4,2,7,2,5.5,5.7
13,N,3,13.N.3.C,Control,B.iberidifolia,3,0,0,6-Oct-13,Annual.forb,2,0.1359,1.2227,0.407566667,3.9,4.333333333,0.853333333,4,2,7,2,5.5,5.7
13,N,3,13.N.3.C,Control,B.iberidifolia,3,0,0,6-Oct-13,Annual.forb,3,0.5112,1.2227,0.407566667,3.9,4.333333333,0.853333333,4,2,7,2,5.5,5.7
13,N,3,13.N.3.L,Litter,B.iberidifolia,9,0,0,6-Oct-13,Annual.forb,1,0.031,1.3739,0.13739,3.9,5,0.16,4,2,7,4,6.3,5.3
13,N,3,13.N.3.L,Litter,B.iberidifolia,9,0,0,6-Oct-13,Annual.forb,2,0.0302,1.3739,0.13739,3.9,5,0.16,4,2,7,4,6.3,5.3
13,N,3,13.N.3.L,Litter,B.iberidifolia,9,0,0,6-Oct-13,Annual.forb,3,0.2534,1.3739,0.13739,3.9,5,0.16,4,2,7,4,6.3,5.3
13,N,3,13.N.3.L,Litter,B.iberidifolia,9,0,0,6-Oct-13,Annual.forb,4,0.2809,1.3739,0.13739,3.9,5,0.16,4,2,7,4,6.3,5.3
13,N,3,13.N.3.L,Litter,B.iberidifolia,9,0,0,6-Oct-13,Annual.forb,5,0.0816,1.3739,0.13739,3.9,5,0.16,4,2,7,4,6.3,5.3
13,N,3,13.N.3.L,Litter,B.iberidifolia,9,0,0,6-Oct-13,Annual.forb,6,0.0884,1.3739,0.13739,3.9,5,0.16,4,2,7,4,6.3,5.3
13,N,3,13.N.3.L,Litter,B.iberidifolia,9,0,0,6-Oct-13,Annual.forb,7,0.1243,1.3739,0.13739,3.9,5,0.16,4,2,7,4,6.3,5.3
13,N,3,13.N.3.L,Litter,B.iberidifolia,9,0,0,6-Oct-13,Annual.forb,8,0.1545,1.3739,0.13739,3.9,5,0.16,4,2,7,4,6.3,5.3
13,N,3,13.N.3.L,Litter,B.iberidifolia,9,0,0,6-Oct-13,Annual.forb,9,0.1602,1.3739,0.13739,3.9,5,0.16,4,2,7,4,6.3,5.3
13,N,3,13.N.3.L,Litter,B.iberidifolia,9,0,0,6-Oct-13,Annual.forb,10,0.1694,1.3739,0.13739,3.9,5,0.16,4,2,7,4,6.3,5.3
13,N,4,13.N.4.C,Control,B.iberidifolia,1,0,0,6-Oct-13,Annual.forb,1,0.3016,0.3016,0.3016,2.4,4,5.013333333,2,3,4,5,5.5,5.3
13,N,4,13.N.4.L,Litter,B.iberidifolia,2,0,0,6-Oct-13,Annual.forb,1,0.1051,0.371,0.1855,2.4,5,9.52,3,2,6,4,5.6,5.3
13,N,4,13.N.4.L,Litter,B.iberidifolia,2,0,0,6-Oct-13,Annual.forb,2,0.2659,0.371,0.1855,2.4,5,9.52,3,2,6,4,5.6,5.3
13,N,5,13.N.5.L,Litter,B.iberidifolia,2,0,0,6-Oct-13,Annual.forb,1,0.2691,0.3729,0.18645,0.9,5,71.57333333,2,3,4,4,4.9,5.1
13,N,5,13.N.5.L,Litter,B.iberidifolia,2,0,0,6-Oct-13,Annual.forb,2,0.1038,0.3729,0.18645,0.9,5,71.57333333,2,3,4,4,4.9,5.1
13,S,1,13.S.1.C,Control,B.iberidifolia,5,0,0,6-Oct-13,Annual.forb,1,0.0368,0.4099,0.08198,7.1,3.666666667,2.24,3,2,1,5,5.6,5.4
13,S,1,13.S.1.C,Control,B.iberidifolia,5,0,0,6-Oct-13,Annual.forb,2,0.029,0.4099,0.08198,7.1,3.666666667,2.24,3,2,1,5,5.6,5.4
13,S,1,13.S.1.C,Control,B.iberidifolia,5,0,0,6-Oct-13,Annual.forb,3,0.0344,0.4099,0.08198,7.1,3.666666667,2.24,3,2,1,5,5.6,5.4
13,S,1,13.S.1.C,Control,B.iberidifolia,5,0,0,6-Oct-13,Annual.forb,4,0.2527,0.4099,0.08198,7.1,3.666666667,2.24,3,2,1,5,5.6,5.4
13,S,1,13.S.1.C,Control,B.iberidifolia,5,0,0,6-Oct-13,Annual.forb,5,0.057,0.4099,0.08198,7.1,3.666666667,2.24,3,2,1,5,5.6,5.4
13,S,1,13.S.1.L,Litter,B.iberidifolia,19,0,0,6-Oct-13,Annual.forb,NA,NA,0.6242,0.032852632,7.1,5,2.24,5,2,9,2,5.6,5.6
13,S,2,13.S.2.C,Control,B.iberidifolia,1,0,0,6-Oct-13,Annual.forb,1,0.0071,0.0071,0.0071,5.6,4,6.4,2,2,1,2,5.8,4.9
13,S,2,13.S.2.L,Litter,B.iberidifolia,3,0,0,6-Oct-13,Annual.forb,1,0.0353,0.1146,0.0382,5.6,4.333333333,6.4,2,2,2,2,5.5,5.6
13,S,2,13.S.2.L,Litter,B.iberidifolia,3,0,0,6-Oct-13,Annual.forb,2,0.0469,0.1146,0.0382,5.6,4.333333333,6.4,2,2,2,2,5.5,5.6
13,S,2,13.S.2.L,Litter,B.iberidifolia,3,0,0,6-Oct-13,Annual.forb,3,0.0324,0.1146,0.0382,5.6,4.333333333,6.4,2,2,2,2,5.5,5.6
13,S,3,13.S.3.C,Control,B.iberidifolia,2,0,0,6-Oct-13,Annual.forb,1,0.0249,0.1034,0.0517,4.1,5,18.18666667,2,2,1,2,5.7,5.1
13,S,3,13.S.3.C,Control,B.iberidifolia,2,0,0,6-Oct-13,Annual.forb,2,0.0785,0.1034,0.0517,4.1,5,18.18666667,2,2,1,2,5.7,5.1
13,S,3,13.S.3.L,Litter,B.iberidifolia,6,0,0,6-Oct-13,Annual.forb,1,0.1562,0.6226,0.103766667,4.1,5.333333333,18.18666667,2,2,3,2,5.7,5.6
13,S,3,13.S.3.L,Litter,B.iberidifolia,6,0,0,6-Oct-13,Annual.forb,2,0.0257,0.6226,0.103766667,4.1,5.333333333,18.18666667,2,2,3,2,5.7,5.6
13,S,3,13.S.3.L,Litter,B.iberidifolia,6,0,0,6-Oct-13,Annual.forb,3,0.0933,0.6226,0.103766667,4.1,5.333333333,18.18666667,2,2,3,2,5.7,5.6
13,S,3,13.S.3.L,Litter,B.iberidifolia,6,0,0,6-Oct-13,Annual.forb,4,0.1409,0.6226,0.103766667,4.1,5.333333333,18.18666667,2,2,3,2,5.7,5.6
13,S,3,13.S.3.L,Litter,B.iberidifolia,6,0,0,6-Oct-13,Annual.forb,5,0.045,0.6226,0.103766667,4.1,5.333333333,18.18666667,2,2,3,2,5.7,5.6
13,S,3,13.S.3.L,Litter,B.iberidifolia,6,0,0,6-Oct-13,Annual.forb,6,0.1615,0.6226,0.103766667,4.1,5.333333333,18.18666667,2,2,3,2,5.7,5.6
14,S,1,14.S.1.L,Litter,B.iberidifolia,56,0,0,4-Oct-13,Annual.forb,NA,NA,2.7439,0.048998214,13,3,1.546666667,2,4,3,2,5.7,5.4
14,S,2,14.S.2.C,Control,B.iberidifolia,75,0,0,4-Oct-13,Annual.forb,NA,NA,4.3804,0.058405333,11,4,5.36,3,3,3,4,5.6,5.3
14,S,2,14.S.2.L,Litter,B.iberidifolia,77,0,0,4-Oct-13,Annual.forb,NA,NA,2.85,0.037012987,11,4,5.013333333,3,2,5,3,5.8,5.3
14,S,3,14.S.3.C,Control,B.iberidifolia,40,0,0,5-Oct-13,Annual.forb,NA,NA,1.4535,0.0363375,9,4,10.90666667,4,2,4,3,5.5,5.2
14,S,3,14.S.3.L,Litter,B.iberidifolia,24,0,0,4-Oct-13,Annual.forb,NA,NA,1.0116,NA,9,4,9.866666667,3,2,5,2,5.5,5.3
14,S,4,14.S.4.C,Control,B.iberidifolia,1,0,0,5-Oct-13,Annual.forb,1,0.0188,0.0188,0.0188,5.5,3,37.25333333,2,2,3,1,5.4,5.6
15,N,1,15.N.1.L,Litter,B.iberidifolia,1,0,0,3-Oct-13,Annual.forb,1,0.1881,0.1881,0.1881,10,3.666666667,11.25333333,2,4,3,3,5.2,5.2
15,N,2,15.N.2.C,Control,B.perpusilla,2,0,0,3-Oct-13,Annual.forb,1,0.0695,0.1087,0.05435,8,3.333333333,22.69333333,2,3,3,3,5.5,5.3
15,N,2,15.N.2.C,Control,B.perpusilla,2,0,0,3-Oct-13,Annual.forb,2,0.0392,0.1087,0.05435,8,3.333333333,22.69333333,2,3,3,3,5.5,5.3
10,N,1,10.N.1.C,Control,B.tournefortii,2,2,1,2-Oct-13,Annual.forb,1,0.1473,0.4932,0.2466,11.5,4.333333333,18.18666667,4,2,10,4,6.5,6.3
10,N,1,10.N.1.C,Control,B.tournefortii,2,2,1,2-Oct-13,Annual.forb,2,0.3459,0.4932,0.2466,11.5,4.333333333,18.18666667,4,2,10,4,6.5,6.3
10,N,1,10.N.1.L,Litter,B.tournefortii,2,2,1,2-Oct-13,Annual.forb,1,0.4512,1.0505,0.52525,11.5,3.666666667,24.77333333,5,3,6,4,6.9,6.9
10,N,1,10.N.1.L,Litter,B.tournefortii,2,2,1,2-Oct-13,Annual.forb,2,0.5993,1.0505,0.52525,11.5,3.666666667,24.77333333,5,3,6,4,6.9,6.9
10,N,3,10.N.3.L,Litter,B.tournefortii,2,2,1,2-Oct-13,Annual.forb,NA,NA,16.7,8.35,7.5,4,45.57333333,6,3,7,3,6.7,6.5
10,N,4,10.N.4.C,Control,B.tournefortii,1,1,1,2-Oct-13,Annual.forb,1,0.0403,0.0403,0.0403,3.5,3.666666667,77.12,14,5,23,88,6.6,6.6
10,S,4,10.S.4.C,Control,B.tournefortii,2,2,1,2-Oct-13,Annual.forb,NA,NA,NA,NA,4.5,5.333333333,64.29333333,8,5,4,7,6.8,6.2
10,S,4,10.S.4.L,Litter,B.tournefortii,3,3,1,2-Oct-13,Annual.forb,1,0.0618,0.1553,0.051766667,4.5,5,58.4,6,5,4,4,6.3,6.2
10,S,4,10.S.4.L,Litter,B.tournefortii,3,3,1,2-Oct-13,Annual.forb,2,0.0524,0.1553,0.051766667,4.5,5,58.4,6,5,4,4,6.3,6.2
10,S,4,10.S.4.L,Litter,B.tournefortii,3,3,1,2-Oct-13,Annual.forb,3,0.0411,0.1553,0.051766667,4.5,5,58.4,6,5,4,4,6.3,6.2
11,N,1,11.N.1.C,Control,B.tournefortii,1,1,1,4-Oct-13,Annual.forb,1,2,2,2,13.6,3.666666667,26.85333333,4,2,6,3,6.3,6.8
11,N,3,11.N.3.C,Control,B.tournefortii,5,5,1,4-Oct-13,Annual.forb,NA,NA,3.43,0.686,10.3,3,22.34666667,6,3,13,2,6.1,6.4
11,N,4,11.N.4.C,Control,B.tournefortii,1,1,1,4-Oct-13,Annual.forb,1,0.2853,0.2853,0.2853,5.6,3,55.28,9,5,4,20,6.5,6.3
11,N,4,11.N.4.L,Litter,B.tournefortii,1,1,1,4-Oct-13,Annual.forb,1,0.2393,0.2393,0.2393,5.6,3,69.84,11,10,27,25,5.9,5.9
11,N,5,11.N.5.L,Litter,B.tournefortii,1,1,1,4-Oct-13,Annual.forb,1,2.32,2.32,2.32,3.5,4,78.85333333,7,6,5,6,6.4,6.3
11,S,3,11.S.3.L,Litter,B.tournefortii,4,4,1,4-Oct-13,Annual.forb,NA,NA,0.3129,0.078225,10,3,9.52,3,2,2,2,6.2,5.9
11,S,4,11.S.4.C,Control,B.tournefortii,1,1,1,4-Oct-13,Annual.forb,1,0.1375,0.1375,0.1375,5.3,3.333333333,45.22666667,6,6,5,19,5.1,5.3
11,S,5,11.S.5.L,Litter,B.tournefortii,1,1,1,4-Oct-13,Annual.forb,1,0.0574,0.0574,0.0574,3.3,4.333333333,69.84,13,13,13,9,5.8,6.1
14,N,3,14.N.3.L,Litter,B.tournefortii,1,1,1,5-Oct-13,Annual.forb,1,0.271,0.271,0.271,9,3,23.73333333,6,4,5,5,6.3,6.1
14,N,5,14.N.5.C,Control,B.tournefortii,1,1,1,5-Oct-13,Annual.forb,1,0.2941,0.2941,0.2941,2,3.666666667,70.18666667,7,7,4,35,6.1,7.4
14,S,5,14.S.5.L,Litter,B.tournefortii,1,1,1,5-Oct-13,Annual.forb,1,0.0968,0.0968,0.0968,2,5.333333333,71.92,5,5,5,11,6,5.8
