genus_id,genus,family
94,Acaulimalva,Malvaceae
95,Acaulon,Pottiaceae
96,Acaulonopsis,Pottiaceae
97,Acca,Myrtaceae
98,Accara,Myrtaceae
99,Accorombona,Leguminosae
100,Acelica,Acanthaceae
101,Acentra,Violaceae
102,Acer,Sapindaceae
103,Aceras,Orchidaceae
104,Acerates,Apocynaceae
105,Aceratium,Elaeocarpaceae
106,× Aceratoglossum,Orchidaceae
107,Aceriphyllum,Saxifragaceae
108,Acetosa,Polygonaceae
109,Acetosella,Oxalidaceae
110,Acetosella,Polygonaceae
111,Achaetogeron,Compositae
112,Achania,Malvaceae
113,Acharagma,Cactaceae
114,Acharia,Achariaceae
115,Achatocarpus,Achatocarpaceae
116,Achetaria,Plantaginaceae
117,× Achicodonia,Gesneriaceae
118,Achillea,Compositae
119,Achimenantha,Gesneriaceae
120,Achimenes,Gesneriaceae
121,Achlyphila,Xyridaceae
122,Achlys,Berberidaceae
123,Achnatherum,Poaceae
124,× Achnella,Poaceae
125,Achneria,Poaceae
126,Achnophora,Compositae
127,Achnopogon,Compositae
128,Achomanes,Hymenophyllaceae
129,Achoriphragma,Brassicaceae
130,Achras,Sapotaceae
131,Achrophyllum,Hookeriaceae
132,Achuaria,Rutaceae
133,Achudemia,Urticaceae
134,Achymus,Moraceae
135,Achyrachaena,Compositae
136,Achyranthes,Amaranthaceae
137,Achyrocalyx,Acanthaceae
138,Achyrocline,Compositae
139,Achyronia,Leguminosae
140,Achyronychia,Caryophyllaceae
141,Achyropappus,Compositae
142,Achyrophorus,Compositae
143,Achyrophyllum,Ptychomniaceae
144,Achyropsis,Amaranthaceae
145,Achyrospermum,Lamiaceae
146,Aciachne,Poaceae
147,Acianthera,Orchidaceae
148,Acianthus,Orchidaceae
149,Acicarpha,Calyceraceae
150,Acidanthera,Iridaceae
151,Acidocroton,Euphorbiaceae
152,Acidodontium,Bryaceae
153,Acidonia,Proteaceae
154,Acidosasa,Poaceae
155,Acidoton,Euphorbiaceae
156,Acilepidopsis,Compositae
157,Acilepis,Compositae
158,Acineta,Orchidaceae
159,Acinodendron,Melastomataceae
160,Acinolis,Melastomataceae
161,Acinos,Lamiaceae
162,Acioa,Chrysobalanaceae
163,Aciotis,Melastomataceae
164,Acipetalum,Melastomataceae
165,Aciphylla,Apiaceae
166,Acis,Amaryllidaceae
167,Acisanthera,Melastomataceae
168,Ackama,Cunoniaceae
169,Acleisanthes,Nyctaginaceae
170,Aclisia,Commelinaceae
171,Acmadenia,Rutaceae
172,Acmanthera,Malpighiaceae
173,Acmella,Compositae
174,Acmena,Myrtaceae
175,Acmispon,Leguminosae
176,Acmopyle,Podocarpaceae
177,Acnida,Amaranthaceae
178,Acnistus,Solanaceae
179,Acoelorrhaphe,Arecaceae
180,Acokanthera,Apocynaceae
181,Acolea,Gymnomitriaceae
182,Acomastylis,Rosaceae
183,Acome,Capparaceae
184,Acomis,Compositae
185,Aconiopteris,Dryopteridaceae
186,Aconitella,Ranunculaceae
187,Aconitum,Ranunculaceae
188,Aconogonon,Polygonaceae
189,Aconogonum,Polygonaceae
190,Acontias,Araceae
191,Acophorum,Poaceae
192,Acoridium,Orchidaceae
193,Acorus,Acoraceae
194,Acosmia,Caryophyllaceae
195,Acosmium,Leguminosae
196,Acosmus,Malpighiaceae
197,Acosta,Compositae
198,Acosta,Hypnaceae
199,Acostia,Poaceae
200,Acourtia,Compositae
201,Acrachne,Poaceae
202,Acradenia,Rutaceae
203,Acranthera,Rubiaceae
204,Acridocarpus,Malpighiaceae
205,Acrilia,Meliaceae
206,Acriopsis,Orchidaceae
207,Acrisione,Compositae
208,Acritochaete,Poaceae
209,Acritodon,Sematophyllaceae
210,Acritopappus,Compositae
211,Acriulus,Cyperaceae
212,Acroblastum,Balanophoraceae
213,Acrobolbus,Acrobolbaceae
214,Acrobotrys,Rubiaceae
215,Acrocarpidium,Piperaceae
216,Acrocarpus,Leguminosae
217,Acrocentron,Compositae
218,Acrocephalus,Lamiaceae
219,Acroceras,Poaceae
220,Acrochaene,Orchidaceae
221,Acrochila,Plagiochilaceae
222,Acrocladiopsis,Plagiotheciaceae
223,Acrocladium,Amblystegiaceae
224,Acroclinium,Compositae
225,Acrocomia,Arecaceae
226,Acrocoryne,Apocynaceae
227,Acrocryphaea,Cryphaeaceae
228,Acrodiclidium,Lauraceae
229,Acrodon,Aizoaceae
230,Acroglochin,Amaranthaceae
231,Acroglyphe,Apiaceae
232,Acrolasia,Loasaceae
233,Acrolejeunea,Lejeuneaceae
234,Acrolophia,Orchidaceae
235,Acrolophozia,Gymnomitriaceae
236,Acromastigum,Lepidoziaceae
237,Acronema,Apiaceae
238,Acronia,Orchidaceae
239,Acronychia,Rutaceae
240,Acropelta,Dryopteridaceae
241,Acrophorus,Dryopteridaceae
242,Acrophyllum,Cunoniaceae
243,Acropodium,Leguminosae
244,Acropogon,Malvaceae
245,Acroporium,Sematophyllaceae
246,Acropteris,Pteridaceae
247,Acropterygium,Gleicheniaceae
248,Acrorchis,Orchidaceae
249,Acrorumohra,Dryopteridaceae
250,Acrosanthes,Aizoaceae
251,Acroschisma,Andreaeaceae
252,Acroschizocarpus,Brassicaceae
253,Acroscyphella,Balantiopsaceae
254,Acroscyphus,Balantiopsaceae
255,Acrosepalum,Malvaceae
256,Acrosorus,Polypodiaceae
257,Acrospira,Asparagaceae
258,Acrostachys,Loranthaceae
259,Acrostemon,Ericaceae
260,Acrostephanus,Loranthaceae
261,Acrostichum,Pteridaceae
262,Acrostolia,Aneuraceae
263,Acrosynanthus,Rubiaceae
264,Acrotome,Lamiaceae
265,Acrotrema,Dilleniaceae
266,Acrotriche,Ericaceae
267,Acrymia,Lamiaceae
268,Acsmithia,Cunoniaceae
269,Actaea,Ranunculaceae
270,Actephila,Phyllanthaceae
271,Actephilopsis,Euphorbiaceae
272,Actinanthella,Loranthaceae
273,Actinanthus,Apiaceae
274,Actinea,Compositae
275,Actinella,Compositae
276,Actinidia,Actinidiaceae
277,Actiniopteris,Pteridaceae
278,Actinobole,Compositae
279,Actinocarya,Boraginaceae
280,Actinocephalus,Eriocaulaceae
281,Actinocheita,Anacardiaceae
282,Actinocladum,Poaceae
283,Actinodaphne,Lauraceae
284,Actinodium,Myrtaceae
285,Actinodontium,Daltoniaceae
286,Actinokentia,Arecaceae
287,Actinolema,Apiaceae
288,Actinolepis,Compositae
289,Actinomeris,Compositae
290,Actinophlebia,Cyatheaceae
291,Actinorhytis,Arecaceae
292,Actinoschoenus,Cyperaceae
293,Actinoscirpus,Cyperaceae
294,Actinoseris,Compositae
295,Actinospermum,Compositae
296,Actinospora,Ranunculaceae
297,Actinostachys,Schizaeaceae
298,Actinostemma,Cucurbitaceae
299,Actinostemon,Euphorbiaceae
300,Actinostrobus,Cupressaceae
301,Actinothuidium,Thuidiaceae
302,Actinotus,Apiaceae
303,Acuan,Leguminosae
304,Acuania,Leguminosae
305,Acuba,Cornaceae
306,Acunaeanthus,Rubiaceae
307,Acustelma,Apocynaceae
308,Acuston,Brassicaceae
309,Acystopteris,Cystopteridaceae
310,Ada,Orchidaceae
311,Adamantinia,Orchidaceae
312,Adamea,Melastomataceae
313,Adamia,Hydrangeaceae
314,Adansonia,Malvaceae
315,Addisonia,Compositae
316,Adectum,Dennstaedtiaceae
317,Adelanthus,Icacinaceae
318,Adelbertia,Melastomataceae
319,Adelia,Euphorbiaceae
320,Adelia,Oleaceae
321,Adelobotrys,Melastomataceae
322,Adelocaryum,Boraginaceae
323,Adelocolia,Adelanthaceae
324,Adeloda,Acanthaceae
325,Adelostemma,Apocynaceae
326,Adelostigma,Compositae
327,Adelothecium,Daltoniaceae
328,Adelphia,Malpighiaceae
329,Adenacanthus,Acanthaceae
330,Adenachaena,Compositae
331,Adenandra,Rutaceae
332,Adenanthe,Ochnaceae
333,Adenanthellum,Compositae
334,Adenanthera,Leguminosae
335,Adenanthos,Proteaceae
336,Adenarake,Ochnaceae
337,Adenaria,Lythraceae
338,Adenarium,Caryophyllaceae
339,Adenema,Gentianaceae
340,Adenia,Passifloraceae
341,Adenium,Apocynaceae
342,Adenoa,Passifloraceae
343,Adenobasium,Elaeocarpaceae
344,Adenocalymma,Bignoniaceae
345,Adenocalyx,Leguminosae
346,Adenocarpus,Leguminosae
347,Adenocaulon,Compositae
348,Adenochilus,Orchidaceae
349,Adenochlaena,Euphorbiaceae
350,Adenocline,Euphorbiaceae
351,Adenocritonia,Compositae
352,Adenodaphne,Lauraceae
353,Adenoderris,Dryopteridaceae
354,Adenodolichos,Leguminosae
355,Adenoglossa,Compositae
356,Adenogramma,Molluginaceae
357,Adenola,Onagraceae
358,Adenolinum,Linaceae
359,Adenolisianthus,Gentianaceae
360,Adenolobus,Leguminosae
361,Adenoncos,Orchidaceae
362,Adenonema,Caryophyllaceae
363,Adenoon,Compositae
364,Adenopappus,Compositae
365,Adenopeltis,Euphorbiaceae
366,Adenophaedra,Euphorbiaceae
367,Adenophora,Campanulaceae
368,Adenophorus,Polypodiaceae
369,Adenophyllum,Compositae
370,Adenoplea,Scrophulariaceae
371,Adenoplusia,Scrophulariaceae
372,Adenopodia,Leguminosae
373,Adenopogon,Gentianaceae
374,Adenoporces,Malpighiaceae
375,Adenopus,Cucurbitaceae
376,Adenorachis,Rosaceae
377,Adenorandia,Rubiaceae
378,Adenosacme,Rubiaceae
379,Adenosciadium,Apiaceae
380,Adenosma,Plantaginaceae
381,Adenosolen,Compositae
382,Adenostachya,Acanthaceae
383,Adenostegia,Orobanchaceae
384,Adenostemma,Compositae
385,Adenostephanus,Proteaceae
386,Adenostoma,Rosaceae
387,Adenostyles,Compositae
388,Adenostylium,Compositae
389,Adenothamnus,Compositae
390,Adesmia,Leguminosae
391,Adhatoda,Acanthaceae
392,Adianthum,Pteridaceae
393,Adiantopsis,Pteridaceae
394,Adiantum,Pteridaceae
395,Adicea,Urticaceae
396,Adike,Urticaceae
397,Adina,Rubiaceae
398,Adinandra,Pentaphylacaceae
399,Adinandrella,Pentaphylacaceae
400,Adinauclea,Rubiaceae
401,Adipera,Leguminosae
402,Adiscanthus,Rutaceae
403,Adlumia,Papaveraceae
404,Adnaria,Styracaceae
405,Adoketon,Amaranthaceae
406,Adolia,Rhamnaceae
407,Adolphia,Rhamnaceae
408,Adonanthe,Ranunculaceae
409,Adonidia,Arecaceae
410,Adonis,Ranunculaceae
411,Adopogon,Compositae
412,Adorium,Apiaceae
413,Adoxa,Adoxaceae
414,Adrastaea,Dilleniaceae
415,Adriana,Euphorbiaceae
416,Adromischus,Crassulaceae
417,Adrorhizon,Orchidaceae
418,Adyseton,Brassicaceae
419,Aechmandra,Cucurbitaceae
420,Aechmea,Bromeliaceae
421,Aechmophora,Poaceae
422,× Aechopsis,Bromeliaceae
423,Aedesia,Compositae
424,Aegialina,Poaceae
425,Aegialitis,Plumbaginaceae
426,Aegialophila,Compositae
427,Aegiceras,Primulaceae
428,Aegilops,Poaceae
429,× Aegilotrichum,Poaceae
430,Aegilotrichum,Poaceae
431,× Aegilotriticum,Poaceae
432,Aegilotriticum,Poaceae
433,Aeginetia,Orobanchaceae
434,Aegiphila,Lamiaceae
435,Aegle,Rutaceae
436,Aeglopsis,Rutaceae
437,Aegochloa,Polemoniaceae
438,Aegokeras,Apiaceae
439,Aegonychon,Boraginaceae
440,Aegopodium,Apiaceae
441,Aegopogon,Poaceae
442,Aelbroeckia,Poaceae
443,Aellenia,Amaranthaceae
444,Aeluropus,Poaceae
445,Aenhenrya,Orchidaceae
446,Aenictophyton,Leguminosae
447,Aenigmatanthera,Malpighiaceae
448,Aenigmopteris,Tectariaceae
449,Aeolanthus,Lamiaceae
450,Aeollanthus,Lamiaceae
451,Aeonia,Orchidaceae
452,× Aeonichryson,Crassulaceae
453,Aeoniopsis,Plumbaginaceae
454,Aeonium,Crassulaceae
455,Aequatoriella,Thuidiaceae
456,Aequatorium,Compositae
457,Aerangis,Orchidaceae
458,Aeranthes,Orchidaceae
459,Aeranthus,Orchidaceae
460,Aerides,Orchidaceae
461,× Aeridovanda,Orchidaceae
462,Aeridovanda,Orchidaceae
463,Aerobryidium,Meteoriaceae
464,Aerobryopsis,Meteoriaceae
465,Aerobryum,Meteoriaceae
466,Aerolindigia,Brachytheciaceae
467,Aerva,Amaranthaceae
468,Aeschrion,Simaroubaceae
469,Aeschynanthus,Gesneriaceae
470,Aeschynomene,Leguminosae
471,Aesculus,Sapindaceae
472,Aetanthus,Loranthaceae
473,Aetheilema,Acanthaceae
474,Aetheolaena,Compositae
475,Aetheolirion,Commelinaceae
476,Aetheopappus,Compositae
477,Aetheorhiza,Compositae
478,Aetheorhyncha,Orchidaceae
479,Aethephyllum,Aizoaceae
480,Aetheria,Orchidaceae
481,Aethionema,Brassicaceae
482,Aethusa,Apiaceae
483,Aetopteron,Dryopteridaceae
484,Aetoxylon,Thymelaeaceae
485,Aextoxicon,Aextoxicaceae
486,Affonsea,Leguminosae
487,Afgekia,Leguminosae
488,Afraegle,Rutaceae
489,Afrafzelia,Leguminosae
490,Aframmi,Apiaceae
491,Aframomum,Zingiberaceae
492,Afraurantium,Rutaceae
493,Afrobrunnichia,Polygonaceae
494,Afrocalathea,Marantaceae
495,Afrocanthium,Rubiaceae
496,Afrocarpus,Podocarpaceae
497,Afrodaphne,Lauraceae
498,Afrofittonia,Acanthaceae
499,Afroguatteria,Annonaceae
500,Afrolicania,Chrysobalanaceae
501,Afroligusticum,Apiaceae
502,Afrolimon,Plumbaginaceae
503,Afromendoncia,Acanthaceae
504,Afropteris,Pteridaceae
505,Afrormosia,Leguminosae
506,Afrosciadium,Apiaceae
507,Afrosersalisia,Sapotaceae
508,Afrosison,Apiaceae
509,Afrostyrax,Huaceae
510,Afrothismia,Burmanniaceae
511,Afrotrewia,Euphorbiaceae
512,Afrotrichloris,Poaceae
513,Afrotrilepis,Cyperaceae
514,Afrotysonia,Boraginaceae
515,Afrovivella,Crassulaceae
516,Afzelia,Leguminosae
517,Agalinis,Orobanchaceae
518,Agallochum,Thymelaeaceae
519,Agalma,Araliaceae
520,Agalmyla,Gesneriaceae
521,Agaloma,Euphorbiaceae
522,Aganippea,Compositae
523,Aganisia,Orchidaceae
524,Aganonerion,Apocynaceae
525,Aganope,Leguminosae
526,Aganosma,Apocynaceae
527,Agapanthus,Amaryllidaceae
528,Agapetes,Ericaceae
529,Agarista,Ericaceae
530,Agastache,Lamiaceae
531,Agastachys,Proteaceae
532,Agasthiyamalaia,Clusiaceae
533,Agasyllis,Apiaceae
534,Agatea,Violaceae
535,Agathaea,Compositae
536,Agathelpis,Scrophulariaceae
537,Agathis,Araucariaceae
538,Agathisanthemum,Rubiaceae
539,Agathophora,Amaranthaceae
540,Agathophyllum,Lauraceae
541,Agathosma,Rutaceae
542,Agathotes,Gentianaceae
543,Agathyrsus,Compositae
544,Agati,Leguminosae
545,Agation,Violaceae
546,Agauria,Ericaceae
547,Agave,Asparagaceae
548,Agdestis,Phytolaccaceae
549,Agelaea,Connaraceae
550,Agelanthus,Loranthaceae
551,Agenium,Poaceae
552,Ageratella,Compositae
553,Ageratina,Compositae
554,Ageratinastrum,Compositae
555,Ageratum,Compositae
556,Ageria,Aquifoliaceae
557,Agiabampoa,Compositae
558,Agialida,Zygophyllaceae
559,Agianthus,Brassicaceae
560,Aglaia,Meliaceae
561,Aglaodorum,Araceae
562,Aglaomorpha,Polypodiaceae
563,× Aglaonaria,Polypodiaceae
564,Aglaonema,Araceae
565,Aglitheis,Amaryllidaceae
566,Aglossorrhyncha,Orchidaceae
567,Agnesia,Poaceae
568,Agnirictus,Aizoaceae
569,Agnorhiza,Compositae
570,Agonandra,Opiliaceae
571,Agonis,Myrtaceae
572,Agoseris,Compositae
573,Agouticarpa,Rubiaceae
574,Agraulus,Poaceae
575,Agretta,Iridaceae
576,Agrianthus,Compositae
577,Agrimonia,Rosaceae
578,Agriophyllum,Amaranthaceae
579,Agriphyllum,Compositae
580,Agrocharis,Apiaceae
581,× Agroelymus,Poaceae
582,× Agrohordeum,Poaceae
583,× Agropogon,Poaceae
584,Agropogon,Poaceae
585,× Agropyrohordeum,Poaceae
586,Agropyron,Poaceae
587,Agropyropsis,Poaceae
588,× Agrositanion,Poaceae
589,Agrostemma,Caryophyllaceae
590,Agrostis,Poaceae
591,Agrostistachys,Euphorbiaceae
592,Agrostocrinum,Xanthorrhoeaceae
593,Agrostophyllum,Orchidaceae
594,Agrostopoa,Poaceae
595,× Agrotrigia,Poaceae
596,Agrotriticum,Poaceae
597,Aguiaria,Malvaceae
598,Agyneia,Phyllanthaceae
599,Ahernia,Salicaceae
600,Ahouai,Apocynaceae
601,Ahzolia,Cucurbitaceae
602,Aichryson,Crassulaceae
603,Aidema,Amaryllidaceae
604,Aidia,Rubiaceae
605,Aidiopsis,Rubiaceae
606,Ailanthus,Simaroubaceae
607,Ailantopsis,Meliaceae
608,Ailuroschia,Leguminosae
609,Aimorra,Compositae
610,Ainsliaea,Compositae
611,Ainsliea,Compositae
612,Ainsworthia,Apiaceae
613,Aiouea,Lauraceae
614,Aiphanes,Arecaceae
615,Aira,Poaceae
616,Airampoa,Cactaceae
617,Airochloa,Poaceae
618,Airopsis,Poaceae
619,Airosperma,Rubiaceae
620,Airyantha,Leguminosae
621,Aistopetalum,Cunoniaceae
622,Aitchisoniella,Targioniaceae
623,Aizoanthemum,Aizoaceae
624,Aizodraba,Brassicaceae
625,Aizoon,Aizoaceae
626,Aizopsis,Crassulaceae
627,Ajania,Compositae
628,Ajaniopsis,Compositae
629,Ajuga,Lamiaceae
630,Ajugoides,Lamiaceae
631,Akania,Akaniaceae
632,Akeassia,Compositae
633,Akebia,Lardizabalaceae
634,Akrosida,Malvaceae
635,Akschindlium,Leguminosae
636,Alafia,Apocynaceae
637,Alagophylla,Gesneriaceae
638,Alamania,Orchidaceae
639,Alangium,Cornaceae
640,Alania,Boryaceae
641,Alansmia,Polypodiaceae
642,Alantsilodendron,Leguminosae
643,Alaternus,Rhamnaceae
644,Alaticaulia,Orchidaceae
645,Alatiliparis,Orchidaceae
646,Alatoseta,Compositae
647,Alberta,Rubiaceae
648,Albertia,Apiaceae
649,Albertinia,Compositae
650,Albertisia,Menispermaceae
651,Albertokuntzea,Phytolaccaceae
652,Albidella,Alismataceae
653,Albizia,Leguminosae
654,Albovia,Apiaceae
655,Alboviodoxa,Compositae
656,Albrandia,Moraceae
657,Albraunia,Plantaginaceae
658,Albuca,Asparagaceae
659,Albugoides,Asparagaceae
660,× Alcalthaea,Malvaceae
661,Alcantarea,Bromeliaceae
662,Alcea,Malvaceae
663,Alchemilla,Rosaceae
664,Alchornea,Euphorbiaceae
665,Alchorneopsis,Euphorbiaceae
666,Alcicornium,Polypodiaceae
667,Aldama,Compositae
668,Aldina,Leguminosae
669,Aldrovanda,Droseraceae
670,Alectorolophus,Orobanchaceae
671,Alectra,Orobanchaceae
672,Alectryon,Sapindaceae
673,Aleisanthia,Rubiaceae
674,Aleisanthiopsis,Rubiaceae
675,Alepidea,Apiaceae
676,Alepidocline,Compositae
677,Alepis,Loranthaceae
678,Alepyrum,Centrolepidaceae
679,Aletes,Apiaceae
680,Aletris,Nartheciaceae
681,Aleurites,Euphorbiaceae
682,Aleuritia,Primulaceae
683,Aleuritopteris,Pteridaceae
684,Alexa,Leguminosae
685,Alexeya,Ranunculaceae
686,Alexfloydia,Poaceae
687,Alexgeorgea,Restionaceae
688,Alexitoxicon,Apocynaceae
689,Alfaroa,Juglandaceae
690,Alfaropsis,Juglandaceae
691,Alfredia,Compositae
692,Algaria,Pottiaceae
693,Algernonia,Euphorbiaceae
694,Algrizea,Myrtaceae
695,Alguelagum,Lamiaceae
696,Alhagi,Leguminosae
697,Alibertia,Rubiaceae
698,Alibrexia,Solanaceae
699,Alicabon,Solanaceae
700,Alicia,Malpighiaceae
701,Aliciella,Polemoniaceae
702,Aliconia,Compositae
703,Alicularia,Jungermanniaceae
704,Aliella,Compositae
705,Alifana,Melastomataceae
706,Alifiola,Caryophyllaceae
707,Aligera,Caprifoliaceae
708,Aligrimmia,Grimmiaceae
709,Alinula,Cyperaceae
710,Aliopsis,Gentianaceae
711,Alisma,Alismataceae
712,Alismorchis,Orchidaceae
713,Alistilus,Leguminosae
714,Alkanna,Boraginaceae
715,Alkekengi,Solanaceae
716,Alkibias,Compositae
717,Allaganthera,Amaranthaceae
718,Allagopappus,Compositae
719,Allagoptera,Arecaceae
720,Allamanda,Apocynaceae
721,Allanblackia,Clusiaceae
722,Allantodia,Athyriaceae
723,Allantoma,Lecythidaceae
724,Allantospermum,Ixonanthaceae
725,Allardia,Compositae
726,Allasia,Lamiaceae
727,Alleizettea,Rubiaceae
728,Alleizettella,Rubiaceae
729,Alleniella,Neckeraceae
730,Allenrolfea,Amaranthaceae
731,Allexis,Violaceae
732,Alliaria,Brassicaceae
733,Alliaria,Meliaceae
734,Allionia,Nyctaginaceae
735,Allioniella,Sematophyllaceae
736,Allioniellopsis,Sematophyllaceae
737,Allisonia,Allisoniaceae
738,Allisoniella,Cephaloziellaceae
739,Allittia,Compositae
740,Allium,Amaryllidaceae
741,Allmania,Amaranthaceae
742,Allmaniopsis,Amaranthaceae
743,Allocalyx,Plantaginaceae
744,Allocarpus,Compositae
745,Allocarya,Boraginaceae
746,Allocaryastrum,Boraginaceae
747,Allocassine,Celastraceae
748,Allocasuarina,Casuarinaceae
749,Allocephalus,Compositae
750,Allocheilos,Gesneriaceae
751,Allochlamys,Amaranthaceae
752,Allochrusa,Caryophyllaceae
753,Alloeochaete,Poaceae
754,Allohemia,Loranthaceae
755,Alloispermum,Compositae
756,Allolepis,Poaceae
757,Allomaieta,Melastomataceae
758,Allomarkgrafia,Apocynaceae
759,Allomorphia,Melastomataceae
760,Alloneuron,Melastomataceae
761,Allophylastrum,Sapindaceae
762,Allophyllum,Polemoniaceae
763,Allophylus,Sapindaceae
764,Allophyton,Scrophulariaceae
765,Alloplectus,Gesneriaceae
766,Allopterigeron,Compositae
767,Allorgea,Hypnaceae
768,Allorgella,Lejeuneaceae
769,Allosampela,Vitaceae
770,Allosanthus,Sapindaceae
771,Alloschemone,Araceae
772,Allosidastrum,Malvaceae
773,Allosorus,Pteridaceae
774,Allospondias,Anacardiaceae
775,Allostelites,Equisetaceae
776,Allostigma,Gesneriaceae
777,Allosyncarpia,Myrtaceae
778,Alloteropsis,Poaceae
779,Allotropa,Ericaceae
780,Allowissadula,Malvaceae
781,Allowoodsonia,Apocynaceae
782,Alloxylon,Proteaceae
783,Allozygia,Melastomataceae
784,Alluaudia,Didiereaceae
785,Alluaudiopsis,Didiereaceae
786,Almaleea,Leguminosae
787,Almeidea,Rutaceae
788,Almutaster,Compositae
789,Alniphyllum,Styracaceae
790,Alnus,Betulaceae
791,Alobiella,Cephaloziaceae
792,Alobiellopsis,Cephaloziaceae
793,Alocasia,Araceae
794,Alococarpum,Apiaceae
795,Aloe,Xanthorrhoeaceae
796,Aloexylum,Thymelaeaceae
797,Aloina,Pottiaceae
798,Aloinella,Pottiaceae
799,Aloinopsis,Aizoaceae
800,Aloitis,Gentianaceae
801,Alomia,Compositae
802,Alomiella,Compositae
803,Alona,Solanaceae
804,Alonsoa,Scrophulariaceae
805,Alopecias,Leguminosae
806,Alopecurus,Poaceae
807,Alophia,Iridaceae
808,Alophosia,Polytrichaceae
809,Alosemis,Melastomataceae
810,Aloysia,Verbenaceae
811,Alphandia,Euphorbiaceae
812,Alphitonia,Rhamnaceae
813,Alphonsea,Annonaceae
814,Alpinia,Zingiberaceae
815,Alposelinum,Apiaceae
816,Alrawia,Asparagaceae
817,Alseis,Rubiaceae
818,Alseodaphne,Lauraceae
819,Alseuosmia,Alseuosmiaceae
820,Alsia,Leucodontaceae
821,Alsinanthus,Caryophyllaceae
822,Alsinastrum,Elatinaceae
823,Alsine,Caryophyllaceae
824,Alsinella,Caryophyllaceae
825,Alsinidendron,Caryophyllaceae
826,Alsinopsis,Caryophyllaceae
827,Alsodeia,Violaceae
828,Alsodeiopsis,Icacinaceae
829,Alsomitra,Cucurbitaceae
830,Alsophila,Cyatheaceae
831,Alstonia,Apocynaceae
832,Alstroemeria,Alstroemeriaceae
833,Altamiranoa,Crassulaceae
834,Altensteinia,Orchidaceae
835,Alternanthera,Amaranthaceae
836,Althaea,Malvaceae
837,Althenia,Potamogetonaceae
838,Althoffia,Malvaceae
839,Altingia,Altingiaceae
840,Altoparadisium,Poaceae
841,Aluta,Myrtaceae
842,Alvaradoa,Picramniaceae
843,Alvarezia,Acanthaceae
844,Alveolina,Loranthaceae
